elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,139900.0,25433.0,44541.0,25385.0,44541.0,84750.3,73759.6,32051.9,30856.0,0.0,18685.0,2.0,33996.0,19452.2,37256.5,56764.5,90121.3,128652.3,103435.3,148
1.2,139900.0,25433.0,44541.0,25385.0,44541.0,84792.0,73799.7,32092.2,30896.1,0.0,18686.5,2.0,34073.7,19453.6,37339.5,56848.9,90038.3,128652.3,103478.5,148
2.3,139900.0,25433.0,44541.0,25385.0,44541.0,84797.0,73804.5,32097.1,30900.9,0.0,18686.5,2.0,34079.5,19453.8,37467.3,56976.9,89910.5,128652.3,103483.5,148
3.6,139904.0,25435.0,44541.0,25385.0,44543.0,84821.2,73828.6,32121.2,30925.0,0.0,18691.6,2.0,34089.5,19458.6,37364.9,56879.3,90012.9,128652.3,103512.9,148
4.8,139904.0,25435.0,44541.0,25385.0,44543.0,84833.2,73840.5,32133.0,30936.9,0.0,19943.5,2.0,34117.5,20740.6,37395.8,58196.4,89977.8,128652.3,104776.7,148
6.1,139904.0,25435.0,44541.0,25385.0,44543.0,84884.2,73859.2,32184.0,30955.6,0.0,21335.9,2.0,34135.2,22183.7,37448.0,59696.7,89920.7,128652.3,106220.1,148
7.4,139904.0,25435.0,44541.0,25385.0,44543.0,84891.0,73865.9,32190.7,30962.3,0.0,22526.8,2.0,34143.2,23418.7,37464.5,60952.1,89900.1,128652.3,107417.8,148
8.7,139904.0,25435.0,44541.0,25385.0,44543.0,84893.7,73868.6,32193.4,30965.0,0.0,23773.6,2.0,34148.4,24711.7,37607.4,62392.3,89753.1,128652.3,108667.2,148
9.8,139904.0,25435.0,44541.0,25385.0,44543.0,84926.0,73897.5,32225.8,30993.9,0.0,25134.7,2.0,34151.4,26122.4,37465.0,63665.2,89890.8,128652.3,110060.7,148
11.1,139904.0,25435.0,44541.0,25385.0,44543.0,84957.9,73926.0,32254.2,31022.4,0.0,26511.5,8779.3,34199.8,27550.4,37514.1,65147.4,89836.5,128652.3,111469.4,148
