elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,139900.0,25385.0,44541.0,25433.0,44541.0,84772.1,73787.0,32078.9,30882.1,0.0,21281.1,2.0,34046.5,22683.2,36473.8,60194.8,89921.9,128652.3,106053.2,148
1.2,139900.0,25385.0,44541.0,25433.0,44541.0,84821.6,73833.9,32126.5,30929.0,0.0,21282.7,2.0,34142.0,22684.9,36575.0,60297.7,89820.8,128652.3,106104.3,148
2.4,139900.0,25385.0,44541.0,25433.0,44541.0,84832.5,73844.6,32137.2,30939.7,0.0,21282.9,2.0,34136.6,22685.4,36633.5,60356.8,89762.2,128652.3,106115.4,148
3.7,139904.0,25385.0,44541.0,25435.0,44543.0,84868.0,73880.1,32172.7,30975.2,0.0,21293.1,2.0,34178.4,22695.3,36631.2,60364.4,89764.5,128652.3,106161.1,148
4.9,139904.0,25385.0,44541.0,25435.0,44543.0,84868.7,73880.8,32173.5,30975.9,0.0,22601.8,2.0,34300.5,24014.3,36756.1,61808.5,89639.4,128652.3,107470.5,148
6.3,139906.0,25385.0,44543.0,25435.0,44543.0,84871.9,73883.6,32176.6,30978.7,0.0,24168.0,2.0,34182.1,25598.7,36654.0,63290.9,89741.4,128652.3,109039.9,148
7.5,139906.0,25385.0,44543.0,25435.0,44543.0,84874.3,73885.9,32178.9,30981.0,0.0,25584.0,2.0,34184.2,27030.5,36653.0,64721.6,89742.5,128652.3,110458.3,148
8.7,139906.0,25385.0,44543.0,25435.0,44543.0,84894.0,73889.4,32198.5,30984.5,0.0,26836.5,2.0,34185.7,28297.0,36682.7,66017.8,89712.8,128652.3,111730.5,148
10.1,139906.0,25385.0,44543.0,25435.0,44543.0,84914.1,73893.5,32218.6,30988.6,0.0,28190.6,8180.5,34195.2,29667.0,36697.8,67403.0,89697.5,128652.3,113104.7,148
11.5,139906.0,25385.0,44543.0,25435.0,44543.0,84967.0,73939.5,32267.9,31034.6,0.0,29660.4,8180.5,34253.9,31154.0,36749.8,68942.1,89645.5,128652.3,114627.3,148
12.9,139906.0,25385.0,44543.0,25435.0,44543.0,84970.7,73943.2,32271.7,31038.3,0.0,30999.3,8180.5,34255.1,32508.3,36783.5,70330.0,89611.8,128652.3,115970.0,148
14.1,139906.0,25385.0,44543.0,25435.0,44543.0,84976.6,73949.0,32277.5,31044.1,0.0,32019.5,8180.5,34249.5,33541.0,36772.0,71351.4,89623.3,128652.3,116996.1,148
15.4,139908.0,25385.0,44543.0,25435.0,44545.0,85022.8,73991.6,32323.6,31086.7,0.0,33086.6,8180.5,34289.2,34620.3,36808.6,72467.1,89586.7,128652.3,118109.3,148
16.6,139908.0,25385.0,44543.0,25435.0,44545.0,85033.3,74002.2,32334.2,31097.3,0.0,33968.6,8180.5,34355.3,35513.4,37125.2,73677.1,89269.9,128652.3,119001.9,148
18.0,139912.0,25387.0,44545.0,25435.0,44545.0,85036.8,74005.7,32337.7,31100.8,0.0,35167.6,8180.5,34320.5,36729.0,36846.6,74614.0,89548.6,128652.3,120204.4,148
19.4,139912.0,25387.0,44545.0,25435.0,44545.0,85043.4,74012.1,32344.1,31107.2,0.0,36483.4,8180.5,34323.1,38061.7,37296.6,76396.7,89098.5,128652.3,121526.7,148
