elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,150904.0,30048.0,45564.0,29730.0,45562.0,67815.1,56033.8,15111.2,13115.1,0.0,20051.8,0.0,16005.1,21363.4,19265.1,41435.2,107361.8,128652.3,87866.8,148
1.0,150906.0,30048.0,45564.0,29732.0,45562.0,67844.5,56060.6,15138.8,13141.9,0.0,20052.3,0.0,16042.5,21363.7,19306.1,41476.6,107320.7,128652.3,87896.7,148
2.0,151304.0,30382.0,45628.0,29732.0,45562.0,67853.8,56069.7,15148.0,13151.1,0.0,20052.3,0.0,16059.6,21363.3,19330.7,41500.7,107296.2,128652.3,87906.0,148
3.1,151170.0,30272.0,45584.0,29732.0,45582.0,67983.0,56095.6,15277.2,13176.9,0.0,20052.3,0.0,16085.3,21362.9,19468.5,41638.1,107158.4,128652.3,88035.3,148
4.2,151170.0,30272.0,45584.0,29732.0,45582.0,68057.3,56097.8,15351.4,13179.1,0.0,20052.3,0.0,16088.8,21362.6,19703.4,41872.7,106923.5,128652.3,88109.6,148
5.3,151170.0,30272.0,45584.0,29732.0,45582.0,68058.2,56098.4,15352.3,13179.8,0.0,20052.3,0.0,16089.5,21362.3,19553.8,41722.8,107073.1,128652.3,88110.5,148
6.3,151206.0,30272.0,45602.0,29732.0,45600.0,68059.6,56099.5,15353.5,13180.9,0.0,20052.4,0.0,16090.7,21361.9,19557.2,41725.8,107069.7,128652.3,88112.0,148
7.4,151244.0,30290.0,45602.0,29750.0,45602.0,68077.0,56114.4,15369.6,13195.7,0.0,20052.5,0.0,16098.1,21362.0,19830.3,41999.1,106796.5,128652.3,88129.5,148
8.5,151244.0,30290.0,45602.0,29750.0,45602.0,68147.9,56173.1,15438.0,13254.4,0.0,20055.8,0.0,16164.7,21365.4,19647.8,41819.9,106979.0,128652.3,88203.7,148
9.5,151244.0,30290.0,45602.0,29750.0,45602.0,68150.3,56175.4,15440.3,13256.8,0.0,20055.8,0.0,16167.8,21365.5,19639.4,41811.7,106987.4,128652.3,88206.1,148
10.7,151244.0,30290.0,45602.0,29750.0,45602.0,68157.5,56182.5,15447.5,13263.9,0.0,20055.9,0.0,16175.4,21365.7,19649.8,41822.3,106977.1,128652.3,88213.3,148
11.8,151244.0,30290.0,45602.0,29750.0,45602.0,68161.0,56186.1,15451.0,13267.4,0.0,20055.9,0.0,16179.0,21365.9,19658.1,41830.7,106968.7,128652.3,88216.9,148
12.8,151248.0,30290.0,45602.0,29752.0,45604.0,68166.5,56191.6,15456.5,13272.9,0.0,20055.9,0.0,16185.3,21365.9,19791.8,41964.5,106835.0,128652.3,88222.3,148
14.0,151248.0,30290.0,45602.0,29752.0,45604.0,68167.2,56192.3,15457.3,13273.7,0.0,20055.9,0.0,16186.6,21366.3,19663.2,41836.2,106963.6,128652.3,88223.1,148
15.1,151252.0,30292.0,45604.0,29752.0,45604.0,68199.7,56221.2,15486.2,13302.6,0.0,20056.0,0.0,16214.9,21366.4,19693.8,41867.0,106933.0,128652.3,88255.7,148
16.2,151256.0,30292.0,45608.0,29752.0,45604.0,68202.2,56223.8,15488.7,13305.1,0.0,20056.0,0.0,16217.4,21366.1,20005.9,42178.9,106620.9,128652.3,88258.2,148
17.2,151256.0,30292.0,45608.0,29752.0,45604.0,68217.2,56235.3,15500.2,13316.6,0.0,20056.1,0.0,16219.6,21366.4,19698.9,41872.1,106928.0,128652.3,88273.2,148
18.3,151256.0,30292.0,45608.0,29752.0,45604.0,68218.3,56236.4,15501.4,13317.8,0.0,20056.1,0.0,16232.6,21366.4,19710.1,41883.2,106916.8,128652.3,88274.4,148
19.3,151256.0,30292.0,45608.0,29752.0,45604.0,68218.9,56237.0,15501.9,13318.3,0.0,20056.1,0.0,16232.7,21366.4,19717.8,41891.0,106909.0,128652.3,88274.9,148
20.4,151256.0,30292.0,45608.0,29752.0,45604.0,68221.7,56239.8,15504.8,13321.1,0.0,20056.1,0.0,16232.9,21367.0,19744.8,41918.6,106882.0,128652.3,88277.8,148
21.4,151256.0,30292.0,45608.0,29752.0,45604.0,68227.9,56246.0,15510.9,13327.3,0.0,20056.1,0.0,16238.6,21366.7,20072.8,42246.3,106554.0,128652.3,88283.9,148
22.5,151256.0,30292.0,45608.0,29752.0,45604.0,68228.3,56246.4,15511.4,13327.7,0.0,20056.1,0.0,16239.6,21367.1,19729.1,41902.9,106897.7,128652.3,88284.4,148
23.5,151258.0,30292.0,45608.0,29752.0,45606.0,68232.4,56247.1,15512.1,13328.5,0.0,20056.2,0.0,16238.9,21366.9,19724.8,41898.5,106902.0,128652.3,88288.6,148
24.6,151258.0,30292.0,45608.0,29752.0,45606.0,68233.4,56248.2,15513.1,13329.5,0.0,20056.2,0.0,16240.1,21366.9,19723.7,41897.4,106903.1,128652.3,88289.6,148
25.7,151258.0,30292.0,45608.0,29752.0,45606.0,68241.2,56256.0,15521.0,13337.3,0.0,20056.2,0.0,16248.6,21367.5,20252.8,42427.2,106373.9,128652.3,88297.4,148
26.8,151258.0,30292.0,45608.0,29752.0,45606.0,68247.0,56261.8,15526.7,13343.1,0.0,20056.2,0.0,16254.2,21368.4,19756.0,41931.2,106870.8,128652.3,88303.2,148
27.9,151258.0,30292.0,45608.0,29752.0,45606.0,68247.6,56262.3,15527.3,13343.7,0.0,20056.2,0.0,16254.5,21368.4,19812.7,41987.9,106814.1,128652.3,88303.8,148
29.0,151258.0,30292.0,45608.0,29752.0,45606.0,68249.3,56264.1,15529.0,13345.4,0.0,20056.2,0.0,16256.5,21368.4,20007.2,42182.4,106619.5,128652.3,88305.5,148
