elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,150934.0,30028.0,45564.0,29780.0,45562.0,67827.9,56040.7,15128.8,13129.7,0.0,20426.0,0.0,16367.0,21866.8,19349.7,42327.8,106944.6,128652.3,88253.9,148
1.2,151176.0,30270.0,45564.0,29780.0,45562.0,67984.6,56091.5,15283.6,13180.4,0.0,20426.0,0.0,16425.1,21866.9,19682.2,42660.3,106612.1,128652.3,88410.6,148
2.3,151286.0,30270.0,45564.0,29834.0,45618.0,68001.4,56108.1,15300.3,13197.1,0.0,20426.1,0.0,16457.6,21866.9,19697.0,42675.2,106597.3,128652.3,88427.4,148
3.3,151360.0,30270.0,45618.0,29836.0,45636.0,68007.1,56109.8,15306.0,13198.8,0.0,20426.1,0.0,16461.5,21866.9,19570.3,42548.5,106724.0,128652.3,88433.2,148
4.4,151360.0,30270.0,45618.0,29836.0,45636.0,68015.0,56117.3,15313.9,13206.3,0.0,20426.2,0.0,16474.2,21866.7,19583.2,42561.1,106711.1,128652.3,88441.2,148
5.5,151396.0,30306.0,45618.0,29836.0,45636.0,68016.3,56118.3,15315.0,13207.3,0.0,20426.2,0.0,16476.5,21866.8,19586.8,42564.9,106707.5,128652.3,88442.5,148
6.6,151414.0,30324.0,45618.0,29836.0,45636.0,68018.1,56119.9,15316.6,13208.9,0.0,20426.3,0.0,16475.5,21866.7,19594.7,42572.7,106699.6,128652.3,88444.4,148
7.7,151488.0,30324.0,45692.0,29836.0,45636.0,68085.1,56179.8,15381.1,13268.8,0.0,20426.3,0.0,16541.1,21866.8,19666.4,42644.4,106627.9,128652.3,88511.4,148
8.8,151562.0,30324.0,45710.0,29836.0,45692.0,68213.7,56233.4,15503.0,13322.4,0.0,20426.3,0.0,16610.4,21866.5,19805.2,42783.0,106489.1,128652.3,88640.1,148
9.9,151562.0,30324.0,45710.0,29836.0,45692.0,68221.2,56236.9,15510.5,13325.9,0.0,20426.3,0.0,16614.1,21866.0,20017.2,42994.5,106277.1,128652.3,88647.5,148
