t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0683,4096,0,60000,0.0683,0.0000,0.0007,25,0,60000,0.0004,0.0061,,,,,,,,,,,,
1.00,0.0683,4096,0,60000,0.0683,0.0000,0.0689,4121,0,60000,0.0687,0.0000,,,,,,,,,,,,
1.50,0.0683,4096,0,60000,0.0683,0.0000,0.1372,8217,0,60000,0.1369,0.0099,,,,,,,,,,,,
2.00,0.1366,8192,0,60000,0.1365,0.0099,0.1372,8217,0,60000,0.1369,0.0099,,,,,,,,,,,,
2.50,0.2732,16384,0,60000,0.2731,0.0099,0.2737,16409,0,60000,0.2735,0.0099,,,,,,,,,,,,
3.00,0.3414,20480,0,60000,0.3413,0.0000,0.3420,20505,0,60000,0.3417,0.0000,,,,,,,,,,,,
3.50,0.3414,20480,0,60000,0.3413,0.0000,0.3420,20505,0,60000,0.3417,0.0000,,,,,,,,,,,,
4.00,0.4097,16123,0,60000,0.2687,0.0099,0.4103,16137,0,60000,0.2690,0.0099,,,,,,,,,,,,
4.50,0.4779,20219,0,60000,0.3370,0.0000,0.4103,16137,0,60000,0.2690,0.0099,,,,,,,,,,,,
5.00,0.4779,20219,0,60000,0.3370,0.0000,0.4785,20233,0,60000,0.3372,0.0000,,,,,,,,,,,,
5.50,0.5462,15852,0,60000,0.2642,0.0099,0.5468,15868,0,60000,0.2645,0.0099,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:cache_occupancy
6.00,0.6145,19948,0,60000,0.3325,0.0000,0.5468,15868,0,60000,0.2645,0.0099,,,,,,,0.3139,67917,2,216374,0.3139,0.0000
6.50,0.6145,19948,0,60000,0.3325,0.0000,0.6151,19964,0,60000,0.3327,0.0000,,,,,,,0.3139,67917,2,216374,0.3139,0.0000
7.00,0.6827,15605,0,60000,0.2601,0.0099,0.6151,19964,0,60000,0.3327,0.0000,,,,,,,0.3139,67917,2,216374,0.3139,0.0000
7.50,0.6827,15605,0,60000,0.2601,0.0099,0.6834,15624,0,60000,0.2604,0.0099,,,,,,,0.3139,67917,2,216374,0.3139,0.0000
8.00,0.7510,19701,0,60000,0.3283,0.0000,0.7516,19720,0,60000,0.3287,0.0000,,,,,,,0.3139,67917,2,216374,0.3139,0.0000
8.50,0.8193,15354,0,60000,0.2559,0.0099,0.7516,19720,0,60000,0.3287,0.0000,,,,,,,0.3139,67917,2,216374,0.3139,0.0000
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
9.00,0.8193,15354,0,60000,0.2559,0.0099,0.8199,15373,0,60000,0.2562,0.0099,0.1966,42547,1,216374,0.1966,0.0000,0.2752,59544,1,216374,0.2752,0.0000
9.50,0.8193,15354,0,60000,0.2559,0.0099,0.8881,19469,0,60000,0.3245,0.0000,0.1966,42547,1,216374,0.1966,0.0000,0.2752,59544,1,216374,0.2752,0.0000
10.00,0.8740,27914,0,60000,0.4652,0.0000,0.8881,19469,0,60000,0.3245,0.0000,0.1966,42547,1,216374,0.1966,0.0000,0.2752,59544,1,216374,0.2752,0.0000
10.50,0.9423,32009,0,60000,0.5335,0.8063,0.9564,15088,0,60000,0.2515,0.0104,0.1966,42547,1,216374,0.1966,0.0000,0.2752,59544,1,216374,0.2752,0.0000
11.00,0.9423,36105,0,60000,0.6018,0.0000,0.9514,19184,0,60000,0.3197,0.0000,0.1966,42547,1,216374,0.1966,0.0000,0.2752,59544,1,216374,0.2752,0.0000
11.50,0.9423,36105,0,60000,0.6018,0.0000,0.9383,23280,0,60000,0.3880,0.0099,0.1966,42547,1,216374,0.1966,0.0000,0.2752,59544,1,216374,0.2752,0.0000
12.00,0.9339,31758,0,60000,0.5293,0.0000,0.9383,23280,0,60000,0.3880,0.0099,0.1966,42547,1,216374,0.1966,0.0000,0.2752,59544,1,216374,0.2752,0.0000
12.50,0.9339,31758,0,60000,0.5293,0.0000,0.9383,23280,0,60000,0.3880,0.0099,0.1966,42547,1,216374,0.1966,0.0000,0.2754,59579,2,216374,0.2754,0.0000
13.00,0.9701,21104,0,60000,0.3517,0.0000,0.8791,27381,0,60000,0.4563,0.0000,0.1966,42547,1,216374,0.1966,0.0000,0.2754,59579,2,216374,0.2754,0.0000
13.50,0.9701,21104,0,60000,0.3517,0.0000,0.8791,27381,0,60000,0.4563,0.0000,0.1966,42547,1,216374,0.1966,0.0000,0.2754,59579,2,216374,0.2754,0.0000
14.00,0.9614,25200,0,60000,0.4200,0.0000,0.9259,38657,0,60000,0.6443,0.8555,0.1966,42547,1,216374,0.1966,0.0000,0.2754,59579,2,216374,0.2754,0.0000
14.50,0.9614,25200,0,60000,0.4200,0.0000,0.9941,51196,0,60000,0.8533,0.0000,0.1966,42547,1,216374,0.1966,0.0000,0.2363,51126,1,216374,0.2363,0.0000
15.00,0.9614,25200,0,60000,0.4200,0.0000,0.9941,51196,0,60000,0.8533,0.0000,0.1966,42547,1,216374,0.1966,0.0000,0.2363,51126,1,216374,0.2363,0.0000
15.50,0.9667,41,0,60000,0.0007,0.0099,0.9632,46837,0,60000,0.7806,0.6755,0.1969,42607,1,216374,0.1969,0.0000,0.2363,51126,1,216374,0.2363,0.0000
16.00,0.9667,4137,0,60000,0.0689,0.0000,0.9546,50933,0,60000,0.8489,0.0000,0.1969,42607,1,216374,0.1969,0.0000,0.2363,51126,1,216374,0.2363,0.0000
16.50,0.9580,8233,0,60000,0.1372,0.0000,0.9546,50933,0,60000,0.8489,0.0000,0.1969,42607,1,216374,0.1969,0.0000,0.2363,51126,1,216374,0.2363,0.0000
17.00,0.9628,17007,0,60000,0.2834,0.9958,0.9546,38095,0,60000,0.6349,0.0000,0.1969,42607,1,216374,0.1969,0.0000,0.2363,51126,1,216374,0.2363,0.0000
17.50,0.9628,17007,0,60000,0.2834,0.9958,0.9457,33697,0,60000,0.5616,0.0101,0.1970,42633,1,216374,0.1970,0.0000,0.2363,51126,1,216374,0.2363,0.0000
18.00,0.9634,17030,0,60000,0.2838,0.9958,0.9457,29320,0,60000,0.4887,0.0000,0.1970,42633,1,216374,0.1970,0.0000,0.2367,51207,1,216374,0.2367,0.0000
18.50,0.9634,17030,0,60000,0.2838,0.9958,0.9457,29320,0,60000,0.4887,0.0000,0.1970,42633,1,216374,0.1970,0.0000,0.2367,51207,1,216374,0.2367,0.0000
19.00,0.9640,17058,0,60000,0.2843,0.9958,0.8397,33416,0,60000,0.5569,0.0099,0.1970,42633,1,216374,0.1970,0.0000,0.2367,51207,1,216374,0.2367,0.0000
19.50,0.9640,17058,0,60000,0.2843,0.9958,0.9080,37512,0,60000,0.6252,0.0000,0.1184,25616,1,216374,0.1184,0.0000,0.2367,51207,1,216374,0.2367,0.0000
20.00,0.9646,4137,0,60000,0.0689,0.0000,0.9080,37512,0,60000,0.6252,0.0000,0.1184,25616,1,216374,0.1184,0.0000,0.2367,51207,1,216374,0.2367,0.0000
20.50,0.9564,8233,0,60000,0.1372,0.0000,0.9763,24654,0,60000,0.4109,0.0099,0.1184,25616,1,216374,0.1184,0.0000,0.2367,51207,1,216374,0.2367,0.0000
21.00,0.9617,8549,0,60000,0.1425,0.0099,0.9028,37213,0,60000,0.6202,0.0000,0.1184,25616,1,216374,0.1184,0.0000,0.2367,51207,1,216374,0.2367,0.0000
21.50,0.9617,12645,0,60000,0.2107,0.0000,0.9710,41309,0,60000,0.6885,0.6760,0.1184,25616,1,216374,0.1184,0.0000,0.2367,51207,1,216374,0.2367,0.0000
22.00,0.9098,25224,0,60000,0.4204,0.9579,0.9710,41309,0,60000,0.6885,0.6760,0.1184,25616,1,216374,0.1184,0.0000,0.2367,51207,1,216374,0.2367,0.0000
22.50,0.9098,25224,0,60000,0.4204,0.9579,0.8978,40718,0,60000,0.6786,0.0000,0.1184,25616,1,216374,0.1184,0.0000,0.3163,68431,1,216374,0.3163,0.0000
23.00,0.9843,21187,0,60000,0.3531,0.0000,0.8978,40718,0,60000,0.6786,0.0000,0.1184,25616,1,216374,0.1184,0.0000,0.3163,68431,1,216374,0.3163,0.0000
23.50,0.8474,33830,0,60000,0.5638,0.9602,0.9660,40988,0,60000,0.6831,0.6759,0.1184,25616,1,216374,0.1184,0.0000,0.3163,68431,1,216374,0.3163,0.0000
24.00,0.8474,33830,0,60000,0.5638,0.9602,0.9660,40988,0,60000,0.6831,0.6759,0.1580,34182,1,216374,0.1580,0.0000,0.3163,68431,1,216374,0.3163,0.0000
24.50,0.9216,21232,0,60000,0.3539,0.0000,0.9564,45075,0,60000,0.7512,0.0000,0.1580,34182,1,216374,0.1580,0.0000,0.3163,68431,1,216374,0.3163,0.0000
25.00,0.9899,25328,0,60000,0.4221,0.0099,0.9564,45075,0,60000,0.7512,0.0000,0.1580,34182,1,216374,0.1580,0.0000,0.3169,68564,1,216374,0.3169,0.0000
25.50,0.9899,25328,0,60000,0.4221,0.0099,0.9468,32169,0,60000,0.5362,0.6762,0.1580,34182,1,216374,0.1580,0.0000,0.3169,68564,1,216374,0.3169,0.0000
26.00,0.9531,12329,0,60000,0.2055,0.0000,0.9922,38993,0,60000,0.6499,0.0000,0.1580,34182,1,216374,0.1580,0.0000,0.3169,68564,1,216374,0.3169,0.0000
26.50,0.9531,12329,0,60000,0.2055,0.0000,0.9922,38993,0,60000,0.6499,0.0000,0.1580,34182,1,216374,0.1580,0.0000,0.3169,68564,1,216374,0.3169,0.0000
27.00,0.9111,16425,0,60000,0.2737,0.0099,0.9828,26104,0,60000,0.4351,0.4034,0.1580,34182,1,216374,0.1580,0.0000,0.2376,51407,2,216374,0.2376,0.0000
27.50,0.9794,20521,0,60000,0.3420,0.0000,0.9828,30202,0,60000,0.5034,0.0104,0.1580,34182,1,216374,0.1580,0.0000,0.2376,51407,2,216374,0.2376,0.0000
28.00,0.9794,20521,0,60000,0.3420,0.0000,0.9828,30202,0,60000,0.5034,0.0104,0.1580,34182,1,216374,0.1580,0.0000,0.2376,51407,2,216374,0.2376,0.0000
28.50,0.9794,24623,0,60000,0.4104,0.6774,0.9089,17250,0,60000,0.2875,0.0000,0.3162,68411,1,216374,0.3162,0.0000,0.1984,42927,1,216374,0.1984,0.0000
29.00,0.9737,28719,0,60000,0.4787,0.0000,0.9089,17250,0,60000,0.2875,0.0000,0.3162,68411,1,216374,0.3162,0.0000,0.1984,42927,1,216374,0.1984,0.0000
29.50,0.9737,28719,0,60000,0.4787,0.0000,0.9771,21346,0,60000,0.3558,0.0000,0.3162,68411,1,216374,0.3162,0.0000,0.1984,42927,1,216374,0.1984,0.0000
30.00,0.9737,24281,0,60000,0.4047,0.0099,0.9368,25442,0,60000,0.4240,0.0099,0.3162,68411,1,216374,0.3162,0.0000,0.1984,42927,1,216374,0.1984,0.0000
30.50,0.9684,28377,0,60000,0.4729,0.0000,0.9368,25442,0,60000,0.4240,0.0099,0.3162,68411,1,216374,0.3162,0.0000,0.1984,42927,1,216374,0.1984,0.0000
31.00,0.9684,28377,0,60000,0.4729,0.0000,0.7759,29528,0,60000,0.4921,0.0000,0.3162,68411,1,216374,0.3162,0.0000,0.1984,42927,1,216374,0.1984,0.0000
31.50,0.9684,15406,0,60000,0.2568,0.0099,0.7759,29528,0,60000,0.4921,0.0000,0.3162,68411,1,216374,0.3162,0.0000,0.1984,42927,1,216374,0.1984,0.0000
32.00,0.9616,27998,0,60000,0.4666,0.0000,0.9189,50565,0,60000,0.8427,0.8931,0.4341,93920,1,216374,0.4341,0.0000,0.1984,42927,1,216374,0.1984,0.0000
32.50,0.9616,27998,0,60000,0.4666,0.0000,0.9872,54661,0,60000,0.9110,0.0000,0.4341,93920,1,216374,0.4341,0.0000,0.1984,42927,1,216374,0.1984,0.0000
33.00,0.9616,23649,0,60000,0.3942,0.6768,0.9872,54661,0,60000,0.9110,0.0000,0.4341,93920,1,216374,0.4341,0.0000,0.1984,42927,1,216374,0.1984,0.0000
