t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0683,4096,0,60000,0.0683,0.0000,0.0689,4121,0,60000,0.0687,0.0000,,,,,,,,,,,,
1.00,0.1366,8192,0,60000,0.1365,0.0099,0.0689,4121,0,60000,0.0687,0.0000,,,,,,,,,,,,
1.50,0.1366,8192,0,60000,0.1365,0.0099,0.1372,8217,0,60000,0.1369,0.0099,,,,,,,,,,,,
2.00,0.1366,8192,0,60000,0.1365,0.0099,0.1372,8217,0,60000,0.1369,0.0099,,,,,,,,,,,,
2.50,0.2732,16384,0,60000,0.2731,0.0099,0.2737,16409,0,60000,0.2735,0.0099,,,,,,,,,,,,
3.00,0.2732,16384,0,60000,0.2731,0.0099,0.3420,12052,0,60000,0.2009,0.0000,,,,,,,,,,,,
3.50,0.2732,16384,0,60000,0.2731,0.0099,0.4103,16148,0,60000,0.2691,0.0099,,,,,,,,,,,,
4.00,0.4097,16137,0,60000,0.2690,0.0099,0.4103,16148,0,60000,0.2691,0.0099,,,,,,,,,,,,
4.50,0.4097,16137,0,60000,0.2690,0.0099,0.4785,11780,0,60000,0.1963,0.0000,,,,,,,,,,,,
5.00,0.4779,11790,0,60000,0.1965,0.0000,0.5468,15876,0,60000,0.2646,0.0099,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:cache_occupancy
5.50,0.5462,15886,0,60000,0.2648,0.0099,0.6151,11509,0,60000,0.1918,0.0000,,,,,,,0.3303,50963,1,154304,0.3303,0.0000
6.00,0.6145,11518,0,60000,0.1920,0.0000,0.6151,11509,0,60000,0.1918,0.0000,,,,,,,0.3303,50963,1,154304,0.3303,0.0000
6.50,0.6145,11518,0,60000,0.1920,0.0000,0.7516,19701,0,60000,0.3283,0.0000,,,,,,,0.3303,50963,1,154304,0.3303,0.0000
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
7.00,0.7510,19710,0,60000,0.3285,0.0000,0.7516,19701,0,60000,0.3283,0.0000,0.3306,51007,1,154304,0.3306,0.0000,0.3303,50963,1,154304,0.3303,0.0000
7.50,0.7510,19710,0,60000,0.3285,0.0000,0.8199,15361,0,60000,0.2560,0.0099,0.3306,51007,1,154304,0.3306,0.0000,0.3303,50963,1,154304,0.3303,0.0000
8.00,0.7510,19710,0,60000,0.3285,0.0000,0.8741,10996,0,60000,0.1833,0.0000,0.3306,51007,1,154304,0.3306,0.0000,0.3303,50963,1,154304,0.3303,0.0000
8.50,0.9606,32270,0,60000,0.5378,0.9125,0.9424,15092,0,60000,0.2515,0.0099,0.3306,51007,1,154304,0.3306,0.0000,0.1649,25451,1,154304,0.1649,0.0000
9.00,0.9746,42365,0,60000,0.7061,0.9979,0.9424,15092,0,60000,0.2515,0.0099,0.3306,51007,1,154304,0.3306,0.0000,0.1649,25451,1,154304,0.1649,0.0000
9.50,0.9746,42365,0,60000,0.7061,0.9979,0.8837,10745,0,60000,0.1791,0.0000,0.3306,51007,1,154304,0.3306,0.0000,0.1649,25451,1,154304,0.1649,0.0000
10.00,0.9746,42365,0,60000,0.7061,0.9979,0.9520,14841,0,60000,0.2473,0.0099,0.3306,51007,1,154304,0.3306,0.0000,0.1649,25451,1,154304,0.1649,0.0000
10.50,0.9746,42365,0,60000,0.7061,0.9979,0.9520,14841,0,60000,0.2473,0.0099,0.3306,51007,1,154304,0.3306,0.0000,0.1649,25451,1,154304,0.1649,0.0000
11.00,0.9746,42365,0,60000,0.7061,0.9979,0.9479,14583,0,60000,0.2430,0.0099,0.3306,51007,1,154304,0.3306,0.0000,0.1649,25451,1,154304,0.1649,0.0000
11.50,0.9746,42365,0,60000,0.7061,0.9979,0.9479,14583,0,60000,0.2430,0.0099,0.3312,51109,1,154304,0.3312,0.0000,0.2207,34058,1,154304,0.2207,0.0000
12.00,0.9746,42365,0,60000,0.7061,0.9979,0.9479,14583,0,60000,0.2430,0.0099,0.3312,51109,1,154304,0.3312,0.0000,0.2207,34058,1,154304,0.2207,0.0000
12.50,0.8254,16966,0,60000,0.2828,0.9979,0.8994,14326,0,60000,0.2388,0.0099,0.3312,51109,1,154304,0.3312,0.0000,0.2207,34058,1,154304,0.2207,0.0000
13.00,0.8254,16966,0,60000,0.2828,0.9979,0.9677,9945,0,60000,0.1658,0.0000,0.3312,51109,1,154304,0.3312,0.0000,0.2207,34058,1,154304,0.2207,0.0000
13.50,0.8254,16966,0,60000,0.2828,0.9979,0.9677,9945,0,60000,0.1658,0.0000,0.3312,51109,1,154304,0.3312,0.0000,0.2207,34058,1,154304,0.2207,0.0000
14.00,0.8259,8554,0,60000,0.1426,0.9976,0.7986,14041,0,60000,0.2340,0.0099,0.3312,51109,1,154304,0.3312,0.0000,0.2207,34051,1,154304,0.2207,0.0000
14.50,0.8259,8554,0,60000,0.1426,0.9976,0.8668,9702,0,60000,0.1617,0.0000,0.3312,51109,1,154304,0.3312,0.0000,0.2207,34051,1,154304,0.2207,0.0000
15.00,0.8259,8554,0,60000,0.1426,0.9976,0.8668,9702,0,60000,0.1617,0.0000,0.4424,68261,1,154304,0.4424,0.0000,0.2207,34051,1,154304,0.2207,0.0000
15.50,0.8259,8554,0,60000,0.1426,0.9976,0.8626,17894,0,60000,0.2982,0.0000,0.4424,68261,1,154304,0.4424,0.0000,0.2207,34051,1,154304,0.2207,0.0000
16.00,0.9678,8533,0,60000,0.1422,0.9978,0.8626,17894,0,60000,0.2982,0.0000,0.4424,68261,1,154304,0.4424,0.0000,0.2207,34051,1,154304,0.2207,0.0000
16.50,0.9678,8533,0,60000,0.1422,0.9978,0.9308,13518,0,60000,0.2253,0.0099,0.4424,68261,1,154304,0.4424,0.0000,0.2207,34051,1,154304,0.2207,0.0000
17.00,0.9678,8533,0,60000,0.1422,0.9978,0.9308,13518,0,60000,0.2253,0.0099,0.4424,68261,1,154304,0.4424,0.0000,0.2207,34051,1,154304,0.2207,0.0000
17.50,0.9678,8533,0,60000,0.1422,0.9978,0.9555,9137,0,60000,0.1523,0.0000,0.4424,68261,1,154304,0.4424,0.0000,0.2207,34051,1,154304,0.2207,0.0000
18.00,0.9681,4137,0,60000,0.0689,0.0000,0.9264,13233,0,60000,0.2205,0.0099,0.4424,68261,1,154304,0.4424,0.0000,0.2207,34051,1,154304,0.2207,0.0000
18.50,0.9126,8233,0,60000,0.1372,0.0000,0.9264,13233,0,60000,0.2205,0.0099,0.4424,68261,1,154304,0.4424,0.0000,0.2207,34051,1,154304,0.2207,0.0000
19.00,0.9126,8233,0,60000,0.1372,0.0000,0.9471,21425,0,60000,0.3571,0.0099,0.4424,68261,1,154304,0.4424,0.0000,0.2207,34051,1,154304,0.2207,0.0000
19.50,0.9126,8233,0,60000,0.1372,0.0000,0.8492,17023,0,60000,0.2837,0.0000,0.4981,76862,1,154304,0.4981,0.0000,0.2207,34051,1,154304,0.2207,0.0000
20.00,0.9855,4137,0,60000,0.0689,0.0000,0.8492,17023,0,60000,0.2837,0.0000,0.4981,76862,1,154304,0.4981,0.0000,0.2213,34153,1,154304,0.2213,0.0000
20.50,0.8448,16744,0,60000,0.2791,0.9615,0.9857,8257,0,60000,0.1376,0.0101,0.4981,76862,1,154304,0.4981,0.0000,0.2213,34153,1,154304,0.2213,0.0000
21.00,0.8448,16744,0,60000,0.2791,0.9615,0.9857,8257,0,60000,0.1376,0.0101,0.4981,76862,1,154304,0.4981,0.0000,0.2213,34153,1,154304,0.2213,0.0000
21.50,0.8448,16744,0,60000,0.2791,0.9615,0.9121,12353,0,60000,0.2059,0.0000,0.4981,76862,1,154304,0.4981,0.0000,0.2213,34153,1,154304,0.2213,0.0000
22.00,0.8448,16744,0,60000,0.2791,0.9615,0.9804,16449,0,60000,0.2742,0.0099,0.4981,76862,1,154304,0.4981,0.0000,0.2213,34153,1,154304,0.2213,0.0000
22.50,0.9188,4137,0,60000,0.0689,0.0000,0.9221,12050,0,60000,0.2008,0.0000,0.3881,59878,1,154304,0.3881,0.0000,0.2213,34153,1,154304,0.2213,0.0000
23.00,0.9871,8233,0,60000,0.1372,0.0000,0.9221,12050,0,60000,0.2008,0.0000,0.3881,59878,1,154304,0.3881,0.0000,0.2213,34153,1,154304,0.2213,0.0000
23.50,0.9871,8233,0,60000,0.1372,0.0000,0.9758,16148,0,60000,0.2691,0.0104,0.3881,59878,1,154304,0.3881,0.0000,0.2213,34153,1,154304,0.2213,0.0000
24.00,0.9200,12671,0,60000,0.2112,0.0000,0.9030,11767,0,60000,0.1961,0.0000,0.3881,59878,1,154304,0.3881,0.0000,0.2213,34153,1,154304,0.2213,0.0000
24.50,0.9883,8233,0,60000,0.1372,0.0000,0.9713,15863,0,60000,0.2644,0.0099,0.3881,59878,1,154304,0.3881,0.0000,0.2213,34153,1,154304,0.2213,0.0000
25.00,0.7103,17065,0,60000,0.2844,0.9978,0.9083,11465,0,60000,0.1911,0.0000,0.3880,59871,1,154304,0.3880,0.0000,0.2213,34153,1,154304,0.2213,0.0000
25.50,0.8528,34162,0,60000,0.5694,0.9977,0.9766,15561,0,60000,0.2594,0.0099,0.3880,59871,1,154304,0.3880,0.0000,0.2213,34153,1,154304,0.2213,0.0000
26.00,0.8528,34162,0,60000,0.5694,0.9977,0.9766,15561,0,60000,0.2594,0.0099,0.3880,59871,1,154304,0.3880,0.0000,0.2213,34153,1,154304,0.2213,0.0000
26.50,0.8528,34162,0,60000,0.5694,0.9977,0.9670,11173,0,60000,0.1862,0.0000,0.3880,59871,1,154304,0.3880,0.0000,0.2213,34153,1,154304,0.2213,0.0000
27.00,0.8528,34162,0,60000,0.5694,0.9977,0.9670,15269,0,60000,0.2545,0.0099,0.3880,59871,1,154304,0.3880,0.0000,0.1664,25682,1,154304,0.1664,0.0000
27.50,0.9214,12653,0,60000,0.2109,0.0000,0.8892,10847,0,60000,0.1808,0.0000,0.3880,59871,1,154304,0.3880,0.0000,0.1664,25682,1,154304,0.1664,0.0000
28.00,0.9214,12653,0,60000,0.2109,0.0000,0.8892,10847,0,60000,0.1808,0.0000,0.3880,59871,1,154304,0.3880,0.0000,0.1664,25682,1,154304,0.1664,0.0000
28.50,0.9896,8233,0,60000,0.1372,0.0000,0.8070,14944,0,60000,0.2491,0.0101,0.3880,59871,1,154304,0.3880,0.0000,0.1664,25682,1,154304,0.1664,0.0000
29.00,0.9938,17011,0,60000,0.2835,0.9977,0.8752,10557,0,60000,0.1759,0.0000,0.5548,85604,1,154304,0.5548,0.0000,0.1664,25682,1,154304,0.1664,0.0000
29.50,0.9938,17011,0,60000,0.2835,0.9977,0.9280,14653,0,60000,0.2442,0.0099,0.5548,85604,1,154304,0.5548,0.0000,0.1664,25682,1,154304,0.1664,0.0000
30.00,0.9938,17011,0,60000,0.2835,0.9977,0.9963,10251,0,60000,0.1709,0.0000,0.5548,85604,1,154304,0.5548,0.0000,0.1664,25682,1,154304,0.1664,0.0000
30.50,0.9896,4137,0,60000,0.0689,0.0000,0.9963,14347,0,60000,0.2391,0.0099,0.5548,85604,1,154304,0.5548,0.0000,0.1664,25682,1,154304,0.1664,0.0000
31.00,0.9896,4137,0,60000,0.0689,0.0000,0.9963,14347,0,60000,0.2391,0.0099,0.5548,85604,1,154304,0.5548,0.0000,0.1664,25682,1,154304,0.1664,0.0000
31.50,0.8511,25564,0,60000,0.4261,0.9978,0.8733,9926,0,60000,0.1654,0.0000,0.5548,85604,1,154304,0.5548,0.0000,0.1664,25682,1,154304,0.1664,0.0000
32.00,0.8514,25576,0,60000,0.4263,0.9979,0.6589,14022,0,60000,0.2337,0.0099,0.4991,77011,1,154304,0.4991,0.0000,0.1664,25682,1,154304,0.1664,0.0000
32.50,0.8514,25576,0,60000,0.4263,0.9979,0.6589,14022,0,60000,0.2337,0.0099,0.4991,77011,1,154304,0.4991,0.0000,0.1664,25682,1,154304,0.1664,0.0000
