t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0001,0,0,60000,0.0000,0.0000,0.0001,0,0,60000,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0689,4121,0,60000,0.0687,0.0000,0.0683,4096,0,60000,0.0683,0.0000,,,,,,,,,,,,
1.00,0.1372,8217,0,60000,0.1369,0.0099,0.1366,8192,0,60000,0.1365,0.0099,,,,,,,,,,,,
1.50,0.1372,8217,0,60000,0.1369,0.0099,0.1366,8192,0,60000,0.1365,0.0099,,,,,,,,,,,,
2.00,0.1372,8217,0,60000,0.1369,0.0099,0.1366,8192,0,60000,0.1365,0.0099,,,,,,,,,,,,
2.50,0.2737,16409,0,60000,0.2735,0.0099,0.2732,16384,0,60000,0.2731,0.0099,,,,,,,,,,,,
3.00,0.3420,12062,0,60000,0.2010,0.0000,0.2732,16384,0,60000,0.2731,0.0099,,,,,,,,,,,,
3.50,0.4103,16158,0,60000,0.2693,0.0099,0.2732,16384,0,60000,0.2731,0.0099,,,,,,,,,,,,
4.00,0.4785,11801,0,60000,0.1967,0.0000,0.4097,16112,0,60000,0.2685,0.0099,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:cache_occupancy
4.50,0.4785,11801,0,60000,0.1967,0.0000,0.4779,11769,0,60000,0.1961,0.0000,,,,,,,0.3302,50946,1,154304,0.3302,0.0000
5.00,0.5468,15897,0,60000,0.2650,0.0099,0.5462,15865,0,60000,0.2644,0.0099,,,,,,,0.3302,50946,1,154304,0.3302,0.0000
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
5.50,0.6151,11530,0,60000,0.1922,0.0000,0.5462,15865,0,60000,0.2644,0.0099,0.3305,51000,1,154304,0.3305,0.0000,0.3302,50946,1,154304,0.3302,0.0000
6.00,0.6834,15626,0,60000,0.2604,0.0104,0.5462,15865,0,60000,0.2644,0.0099,0.3305,51000,1,154304,0.3305,0.0000,0.3302,50946,1,154304,0.3302,0.0000
6.50,0.6834,15626,0,60000,0.2604,0.0104,0.6145,11525,0,60000,0.1921,0.0000,0.3305,51000,1,154304,0.3305,0.0000,0.3302,50946,1,154304,0.3302,0.0000
7.00,0.6834,15626,0,60000,0.2604,0.0104,0.8920,19717,0,60000,0.3286,0.0000,0.3305,51000,1,154304,0.3305,0.0000,0.3302,50946,1,154304,0.3302,0.0000
7.50,0.9610,15370,0,60000,0.2562,0.0099,0.8920,19717,0,60000,0.3286,0.0000,0.3305,51000,1,154304,0.3305,0.0000,0.3302,50946,1,154304,0.3302,0.0000
8.00,0.9610,15370,0,60000,0.2562,0.0099,0.8920,19717,0,60000,0.3286,0.0000,0.3305,51000,1,154304,0.3305,0.0000,0.3302,50946,1,154304,0.3302,0.0000
8.50,0.9610,15370,0,60000,0.2562,0.0099,0.9509,19448,0,60000,0.3241,0.0000,0.3305,51000,1,154304,0.3305,0.0000,0.3302,50946,1,154304,0.3302,0.0000
9.00,0.8157,15119,0,60000,0.2520,0.0099,0.9427,32006,0,60000,0.5334,0.9003,0.3305,51000,1,154304,0.3305,0.0000,0.2202,33977,1,154304,0.2202,0.0000
9.50,0.8840,10760,0,60000,0.1793,0.0000,0.9427,32006,0,60000,0.5334,0.9003,0.4966,76620,1,154304,0.4966,0.0000,0.2202,33977,1,154304,0.2202,0.0000
10.00,0.8840,10760,0,60000,0.1793,0.0000,0.9427,32006,0,60000,0.5334,0.9003,0.4966,76620,1,154304,0.4966,0.0000,0.2202,33977,1,154304,0.2202,0.0000
10.50,0.9389,14856,0,60000,0.2476,0.0101,0.8247,17004,0,60000,0.2834,0.9978,0.4966,76620,1,154304,0.4966,0.0000,0.2202,33977,1,154304,0.2202,0.0000
11.00,0.9389,14856,0,60000,0.2476,0.0101,0.8247,17004,0,60000,0.2834,0.9978,0.3867,59664,2,154304,0.3867,0.0000,0.2202,33977,1,154304,0.2202,0.0000
11.50,0.9259,14571,0,60000,0.2429,0.0099,0.8247,17004,0,60000,0.2834,0.9978,0.3867,59664,2,154304,0.3867,0.0000,0.2202,33977,1,154304,0.2202,0.0000
12.00,0.9941,18667,0,60000,0.3111,0.0000,0.8247,17004,0,60000,0.2834,0.9978,0.3867,59664,2,154304,0.3867,0.0000,0.2202,33977,1,154304,0.2202,0.0000
12.50,0.9941,18667,0,60000,0.3111,0.0000,0.8247,17004,0,60000,0.2834,0.9978,0.3316,51174,2,154304,0.3316,0.0000,0.2202,33977,1,154304,0.2202,0.0000
13.00,0.8030,14302,0,60000,0.2384,0.0099,0.8253,8505,0,60000,0.1417,0.9978,0.3316,51174,2,154304,0.3316,0.0000,0.2202,33977,1,154304,0.2202,0.0000
13.50,0.8357,9955,0,60000,0.1659,0.0000,0.8253,8505,0,60000,0.1417,0.9978,0.3316,51174,2,154304,0.3316,0.0000,0.2207,34054,1,154304,0.2207,0.0000
14.00,0.7979,14051,0,60000,0.2342,0.0099,0.8253,8505,0,60000,0.1417,0.9978,0.3316,51174,2,154304,0.3316,0.0000,0.2207,34054,1,154304,0.2207,0.0000
14.50,0.8266,9664,0,60000,0.1611,0.0000,0.8253,8505,0,60000,0.1417,0.9978,0.3317,51180,1,154304,0.3317,0.0000,0.2207,34054,1,154304,0.2207,0.0000
15.00,0.8948,13760,0,60000,0.2293,0.0099,0.8253,8505,0,60000,0.1417,0.9978,0.3317,51180,1,154304,0.3317,0.0000,0.2207,34054,1,154304,0.2207,0.0000
15.50,0.9631,9383,0,60000,0.1564,0.0000,0.8256,8536,0,60000,0.1423,0.9958,0.3317,51180,1,154304,0.3317,0.0000,0.2207,34054,1,154304,0.2207,0.0000
16.00,0.9631,13481,0,60000,0.2247,0.0104,0.8256,8536,0,60000,0.1423,0.9958,0.3317,51180,1,154304,0.3317,0.0000,0.2207,34054,1,154304,0.2207,0.0000
16.50,0.9631,13481,0,60000,0.2247,0.0104,0.8256,8536,0,60000,0.1423,0.9958,0.3317,51180,1,154304,0.3317,0.0000,0.2207,34054,1,154304,0.2207,0.0000
17.00,0.8573,9080,0,60000,0.1513,0.0000,0.8262,8524,0,60000,0.1421,0.9958,0.3317,51180,1,154304,0.3317,0.0000,0.2207,34054,1,154304,0.2207,0.0000
17.50,0.9256,13176,0,60000,0.2196,0.0099,0.9679,17025,0,60000,0.2838,0.9937,0.3317,51180,1,154304,0.3317,0.0000,0.2207,34054,1,154304,0.2207,0.0000
18.00,0.9939,8802,0,60000,0.1467,0.0000,0.9679,17025,0,60000,0.2838,0.9937,0.2765,42668,1,154304,0.2765,0.0000,0.2207,34054,1,154304,0.2207,0.0000
18.50,0.9213,12898,0,60000,0.2150,0.0000,0.9679,17025,0,60000,0.2838,0.9937,0.2765,42668,1,154304,0.2765,0.0000,0.3321,51244,1,154304,0.3321,0.0000
19.00,0.9213,12898,0,60000,0.2150,0.0000,0.9679,17025,0,60000,0.2838,0.9937,0.2765,42668,1,154304,0.2765,0.0000,0.3321,51244,1,154304,0.3321,0.0000
19.50,0.9213,12898,0,60000,0.2150,0.0000,0.9688,8572,0,60000,0.1429,0.9959,0.2765,42668,1,154304,0.2765,0.0000,0.3321,51244,1,154304,0.3321,0.0000
20.00,0.9452,12606,0,60000,0.2101,0.0000,0.9688,8572,0,60000,0.1429,0.9959,0.2765,42668,1,154304,0.2765,0.0000,0.3321,51244,1,154304,0.3321,0.0000
20.50,0.8438,16704,0,60000,0.2784,0.0104,0.9688,8572,0,60000,0.1429,0.9959,0.2765,42668,1,154304,0.2765,0.0000,0.2772,42774,1,154304,0.2772,0.0000
21.00,0.8438,16704,0,60000,0.2784,0.0104,0.9694,4137,0,60000,0.0689,0.0000,0.2765,42668,1,154304,0.2765,0.0000,0.2772,42774,1,154304,0.2772,0.0000
21.50,0.8438,16704,0,60000,0.2784,0.0104,0.9565,8233,0,60000,0.1372,0.0000,0.2765,42668,1,154304,0.2765,0.0000,0.2772,42774,1,154304,0.2772,0.0000
22.00,0.7763,16398,0,60000,0.2733,0.0099,0.7101,17033,0,60000,0.2839,0.9977,0.2765,42668,1,154304,0.2765,0.0000,0.2772,42774,1,154304,0.2772,0.0000
22.50,0.8446,12017,0,60000,0.2003,0.0000,0.8521,17094,0,60000,0.2849,0.9975,0.2765,42668,1,154304,0.2765,0.0000,0.2772,42774,1,154304,0.2772,0.0000
23.00,0.9128,16113,0,60000,0.2686,0.0099,0.8521,17094,0,60000,0.2849,0.9975,0.2765,42668,1,154304,0.2765,0.0000,0.2772,42774,1,154304,0.2772,0.0000
23.50,0.9811,11720,0,60000,0.1953,0.0000,0.8521,17094,0,60000,0.2849,0.9975,0.2765,42668,1,154304,0.2765,0.0000,0.2772,42774,1,154304,0.2772,0.0000
24.00,0.9811,11720,0,60000,0.1953,0.0000,0.8521,17094,0,60000,0.2849,0.9975,0.3324,51293,1,154304,0.3324,0.0000,0.3330,51378,1,154304,0.3330,0.0000
24.50,0.9811,15816,0,60000,0.2636,0.0099,0.9211,12650,0,60000,0.2108,0.0000,0.3324,51293,1,154304,0.3324,0.0000,0.3330,51378,1,154304,0.3330,0.0000
25.00,0.9712,11443,0,60000,0.1907,0.0000,0.9894,16746,0,60000,0.2791,0.0000,0.3324,51293,1,154304,0.3324,0.0000,0.3330,51378,1,154304,0.3330,0.0000
25.50,0.9712,15539,0,60000,0.2590,0.0099,0.9929,25512,0,60000,0.4252,0.9975,0.3324,51293,1,154304,0.3324,0.0000,0.3330,51378,1,154304,0.3330,0.0000
26.00,0.8926,11124,0,60000,0.1854,0.0000,0.8513,34006,0,60000,0.5668,0.9978,0.3326,51328,2,154304,0.3326,0.0000,0.3330,51378,1,154304,0.3330,0.0000
26.50,0.8926,11124,0,60000,0.1854,0.0000,0.8517,25493,0,60000,0.4249,0.0104,0.3326,51328,2,154304,0.3326,0.0000,0.3330,51378,1,154304,0.3330,0.0000
27.00,0.9608,15220,0,60000,0.2537,0.0099,0.9199,29589,0,60000,0.4931,0.0000,0.3326,51328,2,154304,0.3326,0.0000,0.3330,51378,1,154304,0.3330,0.0000
27.50,0.9018,10803,0,60000,0.1800,0.0000,0.9882,25245,0,60000,0.4208,0.9590,0.3326,51328,2,154304,0.3326,0.0000,0.3330,51378,1,154304,0.3330,0.0000
28.00,0.9700,14899,0,60000,0.2483,0.0101,0.9931,34095,0,60000,0.5683,0.9975,0.3326,51328,2,154304,0.3326,0.0000,0.3330,51378,1,154304,0.3330,0.0000
28.50,0.9507,10472,0,60000,0.1745,0.0000,0.9931,34095,0,60000,0.5683,0.9975,0.3328,51349,1,154304,0.3328,0.0000,0.2774,42798,1,154304,0.2774,0.0000
29.00,0.9507,10472,0,60000,0.1745,0.0000,0.9888,34150,0,60000,0.5692,0.9976,0.3328,51349,1,154304,0.3328,0.0000,0.2774,42798,1,154304,0.2774,0.0000
29.50,0.9411,14568,0,60000,0.2428,0.0099,0.8535,34197,0,60000,0.5699,0.9977,0.3328,51349,1,154304,0.3328,0.0000,0.2774,42798,1,154304,0.2774,0.0000
30.00,0.9411,10169,0,60000,0.1695,0.0000,0.8535,34197,0,60000,0.5699,0.9977,0.3328,51349,1,154304,0.3328,0.0000,0.2774,42798,1,154304,0.2774,0.0000
30.50,0.9315,14265,0,60000,0.2377,0.0099,0.8535,34197,0,60000,0.5699,0.9977,0.3328,51349,1,154304,0.3328,0.0000,0.2774,42798,1,154304,0.2774,0.0000
31.00,0.9315,14265,0,60000,0.2377,0.0099,0.8535,34197,0,60000,0.5699,0.9977,0.4438,68479,1,154304,0.4438,0.0000,0.1663,25660,1,154304,0.1663,0.0000
31.50,0.9831,9884,0,60000,0.1647,0.0000,0.8535,34197,0,60000,0.5699,0.9977,0.4438,68479,1,154304,0.4438,0.0000,0.1663,25660,1,154304,0.1663,0.0000
32.00,0.9778,13980,0,60000,0.2330,0.0099,0.9221,4137,0,60000,0.0689,0.0000,0.4438,68479,1,154304,0.4438,0.0000,0.1663,25660,1,154304,0.1663,0.0000
