elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,171652.0,40894.0,44538.0,40658.0,45562.0,67717.6,56038.0,15043.0,13113.4,0.0,17169.2,0.0,15203.2,17731.2,19074.1,36868.9,107807.3,128652.3,84886.8,148
1.1,171906.0,41148.0,44538.0,40658.0,45562.0,67895.3,56109.7,15218.7,13185.1,0.0,17170.2,0.0,15280.5,17732.0,19498.1,37293.7,107383.4,128652.3,85065.5,148
2.1,172098.0,41212.0,44602.0,40658.0,45626.0,67895.9,56110.2,15219.2,13185.6,0.0,17171.0,0.0,15300.6,17732.8,19286.3,37082.7,107595.1,128652.3,85066.9,148
3.1,172008.0,41222.0,44538.0,40686.0,45562.0,68029.8,56115.9,15353.1,13191.4,0.0,17171.0,0.0,15302.1,17732.6,19357.5,37153.7,107524.0,128652.3,85200.8,148
4.2,172008.0,41222.0,44538.0,40686.0,45562.0,68053.8,56139.6,15377.0,13215.0,0.0,17171.0,0.0,15328.8,17732.5,19453.2,37249.3,107428.4,128652.3,85224.8,148
5.2,172008.0,41222.0,44538.0,40686.0,45562.0,68054.6,56140.2,15377.7,13215.7,0.0,17171.5,0.0,15330.8,17732.6,19463.2,37259.4,107418.6,128652.3,85226.2,148
6.2,172116.0,41222.0,44592.0,40686.0,45616.0,68055.2,56140.7,15378.2,13216.2,0.0,17171.5,0.0,15331.0,17732.6,19460.4,37256.6,107421.4,128652.3,85226.7,148
7.2,172116.0,41222.0,44592.0,40686.0,45616.0,68057.5,56142.8,15380.5,13218.2,0.0,17171.8,0.0,15333.6,17732.4,19471.7,37267.8,107410.3,128652.3,85229.3,148
8.3,172116.0,41222.0,44592.0,40686.0,45616.0,68066.6,56148.3,15389.4,13223.8,0.0,17175.9,0.0,15339.5,17736.5,19490.2,37290.3,107391.8,128652.3,85242.4,148
9.3,172226.0,41222.0,44646.0,40686.0,45672.0,68068.1,56149.7,15390.8,13225.2,0.0,17175.9,0.0,15341.6,17736.3,19495.1,37295.1,107387.0,128652.3,85244.0,148
