elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,171654.0,40896.0,44538.0,40658.0,45562.0,67717.8,56041.2,15043.2,13123.2,0.0,17819.5,0.0,15616.5,18798.5,19094.2,38492.0,107712.1,128652.3,85537.4,148
1.2,171906.0,41148.0,44538.0,40658.0,45562.0,67886.9,56104.1,15210.3,13186.1,0.0,17819.6,0.0,15695.8,18798.7,19450.7,38848.7,107355.6,128652.3,85706.5,148
2.2,171914.0,41152.0,44538.0,40662.0,45562.0,68315.2,56111.8,15638.4,13193.8,0.0,17820.0,0.0,15716.9,18799.1,19515.4,38913.8,107290.9,128652.3,86135.2,148
3.2,171980.0,41176.0,44546.0,40688.0,45570.0,71999.9,56120.7,19323.1,13202.7,0.0,17820.0,0.0,15717.4,18799.1,23162.7,42561.1,103643.6,128652.3,89819.9,148
4.2,172012.0,41184.0,44554.0,40696.0,45578.0,73697.9,56130.9,21021.1,13212.9,0.0,17820.2,0.0,15736.4,18799.3,24584.1,43982.7,102222.2,128652.3,91518.2,148
5.3,172012.0,41184.0,44554.0,40696.0,45578.0,76113.0,56134.1,23436.1,13216.1,0.0,17820.6,0.0,15737.1,18800.1,27778.0,47177.4,99028.3,128652.3,93933.5,148
6.5,172044.0,41192.0,44562.0,40704.0,45586.0,79765.7,56134.5,27088.8,13216.5,0.0,17822.3,0.0,15740.2,18801.9,30667.1,50068.3,96139.2,128652.3,97587.9,148
7.7,172076.0,41200.0,44570.0,40712.0,45594.0,81355.3,56135.6,28678.3,13217.6,0.0,17822.6,0.0,15741.1,18802.3,32446.2,51847.8,94360.1,128652.3,99177.9,148
8.9,172076.0,41200.0,44570.0,40712.0,45594.0,84308.7,56137.0,31631.4,13219.0,0.0,17822.8,0.0,15741.8,18802.1,36186.5,55587.9,90619.8,128652.3,102131.5,148
10.1,172108.0,41208.0,44578.0,40720.0,45602.0,88406.1,56138.1,35728.6,13220.1,0.0,17823.3,0.0,15743.1,18802.7,39124.7,58526.8,87681.5,128652.3,106229.3,148
11.7,172140.0,41216.0,44586.0,40728.0,45610.0,91239.3,56138.5,38561.9,13220.5,0.0,17823.3,0.0,15745.0,18802.5,42451.0,61852.9,84355.2,128652.3,109062.6,148
12.9,172156.0,41220.0,44590.0,40732.0,45614.0,92888.4,56147.6,40211.0,13229.6,0.0,17823.3,0.0,15753.4,18802.2,44719.1,64120.7,82087.2,128652.3,110711.7,148
14.2,172174.0,41224.0,44596.0,40736.0,45618.0,96610.2,56150.1,43932.7,13232.1,0.0,17823.6,0.0,15755.5,18802.3,48822.7,68224.4,77983.5,128652.3,114433.8,148
15.6,172206.0,41232.0,44604.0,40744.0,45626.0,100711.5,56151.6,48030.1,13233.6,0.0,17823.7,0.0,15757.5,18802.9,51779.7,71182.0,75026.5,128652.3,118535.2,148
17.4,172238.0,41240.0,44612.0,40752.0,45634.0,104621.5,56152.1,51940.1,13234.1,0.0,17841.3,0.0,15763.0,18820.5,55769.3,75189.5,71036.6,128652.3,122462.8,148
