elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,gpu2_hbm_mb,gpu3_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
0.0,177284.0,44101.0,44541.0,44101.0,44541.0,66765.6,55762.9,14058.4,12858.7,0.0,20218.1,0.0,15975.6,21603.4,17991.1,40862.3,108174.6,128652.3,86983.7,148
1.1,177284.0,44101.0,44541.0,44101.0,44541.0,66819.7,55813.9,14110.1,12909.7,0.0,20218.1,0.0,16058.1,21604.0,18073.4,40945.2,108092.4,128652.3,87037.8,148
2.1,177284.0,44101.0,44541.0,44101.0,44541.0,66829.5,55823.4,14119.7,12919.2,0.0,20218.1,0.0,16068.2,21604.1,18200.5,41072.4,107965.3,128652.3,87047.6,148
3.2,177288.0,44103.0,44543.0,44101.0,44541.0,66830.4,55824.4,14120.7,12920.1,0.0,20218.1,0.0,16071.5,21604.1,18096.1,40968.0,108069.7,128652.3,87048.6,148
4.3,177292.0,44105.0,44543.0,44103.0,44541.0,66831.5,55825.2,14121.6,12921.0,0.0,20218.2,0.0,16065.0,21604.2,18097.3,40969.4,108068.4,128652.3,87049.8,148
5.3,177292.0,44105.0,44543.0,44103.0,44541.0,66836.0,55829.4,14126.0,12925.2,0.0,20218.3,0.0,16070.5,21604.2,18100.8,40972.8,108065.0,128652.3,87054.3,148
6.3,177294.0,44105.0,44543.0,44103.0,44543.0,66840.3,55833.7,14130.3,12929.5,0.0,20218.4,0.0,16076.3,21604.1,18108.1,40980.1,108057.6,128652.3,87058.7,148
7.4,177294.0,44105.0,44543.0,44103.0,44543.0,66841.5,55834.7,14131.4,12930.5,0.0,20218.4,0.0,16077.8,21604.2,18115.3,40987.4,108050.4,128652.3,87060.0,148
8.4,177294.0,44105.0,44543.0,44103.0,44543.0,66842.3,55835.4,14132.2,12931.2,0.0,20218.7,0.0,16079.9,21604.4,18115.7,40987.9,108050.1,128652.3,87060.9,148
9.5,177294.0,44105.0,44543.0,44103.0,44543.0,66843.2,55836.4,14133.1,12932.2,0.0,20218.7,0.0,16081.3,21604.2,18120.9,40992.9,108044.9,128652.3,87061.9,148
10.6,177296.0,44105.0,44545.0,44103.0,44543.0,66848.4,55837.8,14138.0,12933.6,0.0,20218.7,0.0,16080.5,21604.2,18114.6,40986.6,108051.2,128652.3,87067.1,148
11.7,177296.0,44105.0,44545.0,44103.0,44543.0,66849.0,55838.5,14138.6,12934.2,0.0,20218.7,0.0,16079.7,21604.2,18120.9,40992.9,108044.9,128652.3,87067.7,148
12.8,177296.0,44105.0,44545.0,44103.0,44543.0,66849.8,55839.2,14139.4,12935.0,0.0,20218.7,0.0,16082.8,21604.2,18220.4,41092.4,107945.4,128652.3,87068.5,148
13.8,177296.0,44105.0,44545.0,44103.0,44543.0,66850.4,55839.9,14140.0,12935.7,0.0,20218.7,0.0,16043.2,21604.2,18081.1,40953.1,108084.7,128652.3,87069.2,148
14.9,177296.0,44105.0,44545.0,44103.0,44543.0,66850.6,55840.0,14140.2,12935.8,0.0,20218.7,0.0,16046.2,21604.5,18086.9,40959.3,108078.8,128652.3,87069.3,148
15.9,177300.0,44107.0,44545.0,44105.0,44543.0,66851.1,55840.5,14140.7,12936.3,0.0,20218.7,0.0,16044.4,21604.6,18084.9,40957.3,108080.9,128652.3,87069.8,148
16.9,177300.0,44107.0,44545.0,44105.0,44543.0,66851.5,55840.9,14141.1,12936.7,0.0,20218.7,0.0,16040.9,21604.5,18084.5,40956.8,108081.2,128652.3,87070.2,148
17.9,177300.0,44107.0,44545.0,44105.0,44543.0,66851.6,55841.0,14141.2,12936.8,0.0,20218.7,0.0,16039.4,21604.5,18083.0,40955.4,108082.8,128652.3,87070.3,148
19.0,177300.0,44107.0,44545.0,44105.0,44543.0,66851.7,55841.1,14141.3,12936.9,0.0,20218.8,0.0,16040.8,21604.7,18080.4,40953.0,108085.3,128652.3,87070.5,148
20.1,177302.0,44107.0,44547.0,44105.0,44543.0,66851.9,55841.3,14141.5,12937.1,0.0,20288.1,0.0,16041.2,21674.0,18102.5,41045.0,108062.6,128652.3,87140.0,148
21.1,177302.0,44107.0,44547.0,44105.0,44543.0,66852.3,55841.7,14141.9,12937.5,0.0,20288.4,0.0,16047.9,21674.1,18099.8,41042.4,108065.3,128652.3,87140.7,148
22.2,177302.0,44107.0,44547.0,44105.0,44543.0,66852.9,55842.3,14142.5,12938.1,0.0,20288.6,0.0,16044.0,21674.3,18095.8,41038.6,108069.3,128652.3,87141.4,148
23.2,177306.0,44107.0,44547.0,44105.0,44547.0,66875.2,55861.2,14161.4,12957.0,0.0,20288.6,0.0,16041.4,21674.3,18094.7,41037.5,108070.4,128652.3,87163.7,148
24.3,177306.0,44107.0,44547.0,44105.0,44547.0,66875.6,55861.7,14161.8,12957.4,0.0,20288.6,0.0,16061.3,21674.3,18107.9,41050.7,108057.3,128652.3,87164.2,148
25.4,177306.0,44107.0,44547.0,44105.0,44547.0,66875.8,55861.8,14162.0,12957.6,0.0,20288.6,0.0,16061.7,21674.4,18113.7,41056.6,108051.4,128652.3,87164.3,148
26.5,177306.0,44107.0,44547.0,44105.0,44547.0,66876.6,55862.7,14162.9,12958.5,0.0,20288.6,0.0,16063.6,21674.4,18110.1,41052.9,108055.0,128652.3,87165.2,148
27.5,177306.0,44107.0,44547.0,44105.0,44547.0,66876.7,55862.7,14162.9,12958.5,0.0,20288.6,0.0,16066.0,21674.4,18105.9,41048.7,108059.2,128652.3,87165.3,148
