t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0000,0,0,209038,0.0000,0.0000,0.0000,0,0,209038,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0000,0,0,209038,0.0000,0.0000,0.0198,4121,0,209038,0.0197,0.0000,,,,,,,,,,,,
1.00,0.0196,4096,0,209038,0.0196,0.0000,0.0394,8217,0,209038,0.0393,0.0099,,,,,,,,,,,,
1.50,0.0196,4096,0,209038,0.0196,0.0000,0.0394,8217,0,209038,0.0393,0.0099,,,,,,,,,,,,
2.00,0.0392,8192,0,209038,0.0392,0.0099,0.0394,8217,0,209038,0.0393,0.0099,,,,,,,,,,,,
2.50,0.0784,16384,0,209038,0.0784,0.0099,0.0786,16409,0,209038,0.0785,0.0099,,,,,,,,,,,,
3.00,0.0784,16384,0,209038,0.0784,0.0099,0.0982,20505,0,209038,0.0981,0.0000,,,,,,,,,,,,
3.50,0.0980,20480,0,209038,0.0980,0.0000,0.1178,24601,0,209038,0.1177,0.0099,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:unreachable
4.00,0.1176,16140,0,209038,0.0772,0.0099,0.1178,24601,0,209038,0.1177,0.0099,0.4712,101947,1,216374,0.4712,0.0000,,,,,,
4.50,0.1176,16140,0,209038,0.0772,0.0099,0.1374,20244,0,209038,0.0968,0.0000,0.4712,101947,1,216374,0.4712,0.0000,,,,,,
5.00,0.1372,20236,0,209038,0.0968,0.0000,0.1374,20244,0,209038,0.0968,0.0000,0.4712,101947,1,216374,0.4712,0.0000,,,,,,
5.50,0.1568,15868,0,209038,0.0759,0.0099,0.1570,15876,0,209038,0.0759,0.0099,0.4712,101947,1,216374,0.4712,0.0000,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
6.00,0.1568,15868,0,209038,0.0759,0.0099,0.1765,19972,0,209038,0.0955,0.0000,0.4712,101947,1,216374,0.4712,0.0000,0.6281,135894,1,216374,0.6281,0.0000
6.50,0.1764,19964,0,209038,0.0955,0.0000,0.1765,19972,0,209038,0.0955,0.0000,0.4712,101947,1,216374,0.4712,0.0000,0.6281,135894,1,216374,0.6281,0.0000
7.00,0.1960,15610,0,209038,0.0747,0.0099,0.1961,15605,0,209038,0.0747,0.0099,0.4712,101947,1,216374,0.4712,0.0000,0.6281,135894,1,216374,0.6281,0.0000
7.50,0.1960,15610,0,209038,0.0747,0.0099,0.2157,19701,0,209038,0.0942,0.0000,0.4714,101998,1,216374,0.4714,0.0000,0.6281,135894,1,216374,0.6281,0.0000
8.00,0.2156,19706,0,209038,0.0943,0.0000,0.2157,19701,0,209038,0.0942,0.0000,0.4714,101998,1,216374,0.4714,0.0000,0.6281,135894,1,216374,0.6281,0.0000
8.50,0.2156,19706,0,209038,0.0943,0.0000,0.2353,15358,0,209038,0.0735,0.0099,0.4714,101998,1,216374,0.4714,0.0000,0.6281,135894,1,216374,0.6281,0.0000
9.00,0.2352,15355,0,209038,0.0735,0.0104,0.2549,19454,0,209038,0.0931,0.0000,0.4714,101998,1,216374,0.4714,0.0000,0.6281,135894,1,216374,0.6281,0.0000
9.50,0.2548,19451,0,209038,0.0931,0.0000,0.2549,19454,0,209038,0.0931,0.0000,0.4714,101998,1,216374,0.4714,0.0000,0.6281,135894,1,216374,0.6281,0.0000
10.00,0.2743,15104,0,209038,0.0723,0.0099,0.2745,15089,0,209038,0.0722,0.0099,0.4714,101998,1,216374,0.4714,0.0000,0.6281,135894,1,216374,0.6281,0.0000
10.50,0.2743,15104,0,209038,0.0723,0.0099,0.2941,19185,0,209038,0.0918,0.0000,0.4714,101998,1,216374,0.4714,0.0000,0.6281,135894,1,216374,0.6281,0.0000
11.00,0.2939,19200,0,209038,0.0918,0.0000,0.2941,19185,0,209038,0.0918,0.0000,0.4714,101998,1,216374,0.4714,0.0000,0.6284,135973,1,216374,0.6284,0.0000
11.50,0.2939,19200,0,209038,0.0918,0.0000,0.3137,14838,0,209038,0.0710,0.0099,0.4720,102134,1,216374,0.4720,0.0000,0.6284,135973,1,216374,0.6284,0.0000
12.00,0.3135,14853,0,209038,0.0711,0.0099,0.3333,18934,0,209038,0.0906,0.0000,0.4720,102134,1,216374,0.4720,0.0000,0.6284,135973,1,216374,0.6284,0.0000
12.50,0.3331,18949,0,209038,0.0906,0.0000,0.3333,18934,0,209038,0.0906,0.0000,0.4720,102134,1,216374,0.4720,0.0000,0.6284,135973,1,216374,0.6284,0.0000
13.00,0.3331,18949,0,209038,0.0906,0.0000,0.3529,14553,0,209038,0.0696,0.0099,0.4720,102134,1,216374,0.4720,0.0000,0.6284,135973,1,216374,0.6284,0.0000
13.50,0.3527,14590,0,209038,0.0698,0.0099,0.3725,18649,0,209038,0.0892,0.0000,0.4720,102134,1,216374,0.4720,0.0000,0.6284,135973,1,216374,0.6284,0.0000
14.00,0.3723,18686,0,209038,0.0894,0.0000,0.3725,18649,0,209038,0.0892,0.0000,0.4720,102134,1,216374,0.4720,0.0000,0.6683,144605,1,216374,0.6683,0.0000
14.50,0.3723,18686,0,209038,0.0894,0.0000,0.3921,14283,0,209038,0.0683,0.0099,0.4720,102134,1,216374,0.4720,0.0000,0.6683,144605,1,216374,0.6683,0.0000
15.00,0.3919,14347,0,209038,0.0686,0.0099,0.4117,18379,0,209038,0.0879,0.0000,0.4720,102134,1,216374,0.4720,0.0000,0.6683,144605,1,216374,0.6683,0.0000
15.50,0.4115,18443,0,209038,0.0882,0.0000,0.4313,14040,0,209038,0.0672,0.0099,0.4720,102134,1,216374,0.4720,0.0000,0.6683,144605,1,216374,0.6683,0.0000
16.00,0.4115,18443,0,209038,0.0882,0.0000,0.4313,14040,0,209038,0.0672,0.0099,0.4720,102134,1,216374,0.4720,0.0000,0.6683,144605,1,216374,0.6683,0.0000
16.50,0.4311,14063,0,209038,0.0673,0.0099,0.4509,18136,0,209038,0.0868,0.0000,0.4720,102134,1,216374,0.4720,0.0000,0.6292,136150,1,216374,0.6292,0.0000
17.00,0.4507,18159,0,209038,0.0869,0.0000,0.4705,13775,0,209038,0.0659,0.0101,0.4723,102191,1,216374,0.4723,0.0000,0.6292,136150,1,216374,0.6292,0.0000
17.50,0.4507,18159,0,209038,0.0869,0.0000,0.4705,13775,0,209038,0.0659,0.0101,0.4723,102191,1,216374,0.4723,0.0000,0.6292,136150,1,216374,0.6292,0.0000
18.00,0.4703,13807,0,209038,0.0661,0.0101,0.4901,17871,0,209038,0.0855,0.0000,0.4723,102191,1,216374,0.4723,0.0000,0.6292,136150,1,216374,0.6292,0.0000
18.50,0.4899,17903,0,209038,0.0856,0.0000,0.5097,13522,0,209038,0.0647,0.0099,0.4723,102191,1,216374,0.4723,0.0000,0.6292,136150,1,216374,0.6292,0.0000
19.00,0.4899,17903,0,209038,0.0856,0.0000,0.5097,13522,0,209038,0.0647,0.0099,0.4723,102191,1,216374,0.4723,0.0000,0.6292,136150,1,216374,0.6292,0.0000
19.50,0.5095,13543,0,209038,0.0648,0.0099,0.5292,17618,0,209038,0.0843,0.0000,0.4723,102191,1,216374,0.4723,0.0000,0.6292,136150,1,216374,0.6292,0.0000
20.00,0.5291,17639,0,209038,0.0844,0.0000,0.5488,13276,0,209038,0.0635,0.0101,0.4334,93771,1,216374,0.4334,0.0000,0.6292,136150,1,216374,0.6292,0.0000
20.50,0.5291,17639,0,209038,0.0844,0.0000,0.5488,13276,0,209038,0.0635,0.0101,0.4334,93771,1,216374,0.4334,0.0000,0.6292,136150,1,216374,0.6292,0.0000
21.00,0.5487,13269,0,209038,0.0635,0.0099,0.5684,17372,0,209038,0.0831,0.0000,0.4334,93771,1,216374,0.4334,0.0000,0.6292,136150,1,216374,0.6292,0.0000
21.50,0.5487,13269,0,209038,0.0635,0.0099,0.5880,13016,0,209038,0.0623,0.0101,0.4334,93771,1,216374,0.4334,0.0000,0.7085,153306,1,216374,0.7085,0.0000
22.00,0.5683,8898,0,209038,0.0426,0.0000,0.6480,25548,0,209038,0.1222,0.0000,0.4334,93771,1,216374,0.4334,0.0000,0.7085,153306,1,216374,0.7085,0.0000
22.50,0.5879,12994,0,209038,0.0622,0.0099,0.6480,25548,0,209038,0.1222,0.0000,0.4334,93771,1,216374,0.4334,0.0000,0.7085,153306,1,216374,0.7085,0.0000
23.00,0.6479,25543,0,209038,0.1222,0.0000,0.6676,21197,0,209038,0.1014,0.0000,0.4334,93771,1,216374,0.4334,0.0000,0.7085,153306,1,216374,0.7085,0.0000
23.50,0.6479,25543,0,209038,0.1222,0.0000,0.7041,45732,0,209038,0.2188,0.8764,0.4334,93771,1,216374,0.4334,0.0000,0.7085,153306,1,216374,0.7085,0.0000
24.00,0.6675,21160,0,209038,0.1012,0.0000,0.7041,45732,0,209038,0.2188,0.8764,0.4334,93771,1,216374,0.4334,0.0000,0.7085,153306,1,216374,0.7085,0.0000
24.50,0.7120,47370,0,209038,0.2266,0.8825,0.7237,58289,0,209038,0.2788,0.6759,0.4334,93771,1,216374,0.4334,0.0000,0.6693,144825,1,216374,0.6693,0.0000
25.00,0.7315,51466,0,209038,0.2462,0.0000,0.7433,53935,0,209038,0.2580,0.0000,0.4334,93771,1,216374,0.4334,0.0000,0.6693,144825,1,216374,0.6693,0.0000
25.50,0.7315,51466,0,209038,0.2462,0.0000,0.7433,53935,0,209038,0.2580,0.0000,0.4334,93771,1,216374,0.4334,0.0000,0.6693,144825,1,216374,0.6693,0.0000
26.00,0.7511,64038,0,209038,0.3063,0.8063,0.7629,66474,0,209038,0.3180,0.6755,0.4334,93771,1,216374,0.4334,0.0000,0.6693,144825,1,216374,0.6693,0.0000
26.50,0.7511,64038,0,209038,0.3063,0.8063,0.7825,62124,0,209038,0.2972,0.0000,0.4334,93771,1,216374,0.4334,0.0000,0.6303,136373,1,216374,0.6303,0.0000
27.00,0.7707,68134,0,209038,0.3259,0.0000,0.7825,62124,0,209038,0.2972,0.0000,0.5127,110934,1,216374,0.5127,0.0000,0.6303,136373,1,216374,0.6303,0.0000
27.50,0.7903,63783,0,209038,0.3051,0.0000,0.8021,57739,0,209038,0.2762,0.6760,0.5127,110934,1,216374,0.5127,0.0000,0.6303,136373,1,216374,0.6303,0.0000
28.00,0.7903,63783,0,209038,0.3051,0.0000,0.8217,61835,0,209038,0.2958,0.0000,0.5127,110934,1,216374,0.5127,0.0000,0.5516,119352,1,216374,0.5516,0.0000
28.50,0.8099,67840,0,209038,0.3245,0.6756,0.8413,74307,0,209038,0.3555,0.8058,0.5127,110934,1,216374,0.5127,0.0000,0.5516,119352,1,216374,0.5516,0.0000
29.00,0.8295,63438,0,209038,0.3035,0.0000,0.8413,74307,0,209038,0.3555,0.8058,0.5127,110934,1,216374,0.5127,0.0000,0.5516,119352,1,216374,0.5516,0.0000
29.50,0.8491,67504,0,209038,0.3229,0.6758,0.8608,69920,0,209038,0.3345,0.0000,0.5127,110934,1,216374,0.5127,0.0000,0.5516,119352,1,216374,0.5516,0.0000
30.00,0.8491,67504,0,209038,0.3229,0.6758,0.8804,73974,0,209038,0.3539,0.6757,0.4733,102399,1,216374,0.4733,0.0000,0.5516,119352,1,216374,0.5516,0.0000
30.50,0.8687,63102,0,209038,0.3019,0.0000,0.9000,78070,0,209038,0.3735,0.0000,0.4733,102399,1,216374,0.4733,0.0000,0.5516,119352,1,216374,0.5516,0.0000
31.00,0.8883,75652,0,209038,0.3619,0.6757,0.9000,78070,0,209038,0.3735,0.0000,0.4733,102399,1,216374,0.4733,0.0000,0.5122,110830,1,216374,0.5122,0.0000
31.50,0.9079,71264,0,209038,0.3409,0.0000,0.9196,73689,0,209038,0.3525,0.0099,0.3945,85357,1,216374,0.3945,0.0000,0.5122,110830,1,216374,0.5122,0.0000
32.00,0.9079,71264,0,209038,0.3409,0.0000,0.9196,73689,0,209038,0.3525,0.0099,0.3945,85357,1,216374,0.3945,0.0000,0.5122,110830,1,216374,0.5122,0.0000
