t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0000,0,0,146869,0.0000,0.0000,0.0000,0,0,146869,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0282,4121,0,146869,0.0281,0.0000,0.0279,4096,0,146869,0.0279,0.0000,,,,,,,,,,,,
1.00,0.0561,8217,0,146869,0.0559,0.0099,0.0558,8192,0,146869,0.0558,0.0099,,,,,,,,,,,,
1.50,0.0561,8217,0,146869,0.0559,0.0099,0.0558,8192,0,146869,0.0558,0.0099,,,,,,,,,,,,
2.00,0.0561,8217,0,146869,0.0559,0.0099,0.0558,8192,0,146869,0.0558,0.0099,,,,,,,,,,,,
2.50,0.0839,12313,0,146869,0.0838,0.0000,0.0837,12288,0,146869,0.0837,0.0000,,,,,,,,,,,,
3.00,0.0839,12313,0,146869,0.0838,0.0000,0.0837,12288,0,146869,0.0837,0.0000,,,,,,,,,,,,
3.50,0.1397,12041,0,146869,0.0820,0.0000,0.1395,12027,0,146869,0.0819,0.0000,,,,,,,,,,,,
4.00,0.1676,16137,0,146869,0.1099,0.0099,0.1395,12027,0,146869,0.0819,0.0000,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:unreachable
4.50,0.1955,11794,0,146869,0.0803,0.0000,0.1674,16123,0,146869,0.1098,0.0099,0.8735,127390,1,145840,0.8735,0.0000,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
5.00,0.1955,11794,0,146869,0.0803,0.0000,0.1953,11756,0,146869,0.0800,0.0000,0.8735,127390,1,145840,0.8735,0.0000,0.7710,118963,1,154304,0.7710,0.0000
5.50,0.2234,15890,0,146869,0.1082,0.0099,0.2231,15852,0,146869,0.1079,0.0099,0.8735,127390,1,145840,0.8735,0.0000,0.7710,118963,1,154304,0.7710,0.0000
6.00,0.2513,11543,0,146869,0.0786,0.0000,0.2510,11505,0,146869,0.0783,0.0000,0.8735,127390,1,145840,0.8735,0.0000,0.7710,118963,1,154304,0.7710,0.0000
6.50,0.2792,15639,0,146869,0.1065,0.0099,0.2510,11505,0,146869,0.0783,0.0000,0.8735,127390,1,145840,0.8735,0.0000,0.7710,118963,1,154304,0.7710,0.0000
7.00,0.2792,15639,0,146869,0.1065,0.0099,0.2510,11505,0,146869,0.0783,0.0000,0.8735,127390,1,145840,0.8735,0.0000,0.7710,118963,1,154304,0.7710,0.0000
7.50,0.2792,15639,0,146869,0.1065,0.0099,0.3644,19697,0,146869,0.1341,0.0000,0.8735,127390,1,145840,0.8735,0.0000,0.7710,118963,1,154304,0.7710,0.0000
8.00,0.3925,15370,0,146869,0.1047,0.0099,0.3923,15357,0,146869,0.1046,0.0104,0.8735,127390,1,145840,0.8735,0.0000,0.7710,118963,1,154304,0.7710,0.0000
8.50,0.4780,10989,0,146869,0.0748,0.0000,0.4202,11005,0,146869,0.0749,0.0000,0.8742,127489,1,145840,0.8742,0.0000,0.7163,110532,1,154304,0.7163,0.0000
9.00,0.5059,15085,0,146869,0.1027,0.0099,0.4202,11005,0,146869,0.0749,0.0000,0.8742,127489,1,145840,0.8742,0.0000,0.7163,110532,1,154304,0.7163,0.0000
9.50,0.5338,10717,0,146869,0.0730,0.0000,0.5056,15101,0,146869,0.1028,0.0099,0.8742,127489,1,145840,0.8742,0.0000,0.7163,110532,1,154304,0.7163,0.0000
10.00,0.5338,10717,0,146869,0.0730,0.0000,0.5335,10748,0,146869,0.0732,0.0000,0.7576,110486,1,145840,0.7576,0.0000,0.7163,110532,1,154304,0.7163,0.0000
10.50,0.5617,14813,0,146869,0.1009,0.0099,0.5614,14844,0,146869,0.1011,0.0099,0.7576,110486,1,145840,0.7576,0.0000,0.7163,110532,1,154304,0.7163,0.0000
11.00,0.5896,10466,0,146869,0.0713,0.0000,0.5893,10485,0,146869,0.0714,0.0000,0.7576,110486,1,145840,0.7576,0.0000,0.7163,110532,1,154304,0.7163,0.0000
11.50,0.5896,10466,0,146869,0.0713,0.0000,0.5893,10485,0,146869,0.0714,0.0000,0.7576,110486,1,145840,0.7576,0.0000,0.7163,110532,1,154304,0.7163,0.0000
12.00,0.7028,10223,0,146869,0.0696,0.0000,0.6749,14581,0,146869,0.0993,0.0099,0.7576,110486,1,145840,0.7576,0.0000,0.7163,110532,1,154304,0.7163,0.0000
12.50,0.7028,10223,0,146869,0.0696,0.0000,0.7028,10215,0,146869,0.0696,0.0000,0.7576,110486,1,145840,0.7576,0.0000,0.8274,127670,1,154304,0.8274,0.0000
13.00,0.7307,14319,0,146869,0.0975,0.0099,0.7306,14311,0,146869,0.0974,0.0099,0.7576,110486,1,145840,0.7576,0.0000,0.8274,127670,1,154304,0.8274,0.0000
13.50,0.7586,9962,0,146869,0.0678,0.0000,0.7585,9962,0,146869,0.0678,0.0000,0.7581,110556,1,145840,0.7581,0.0000,0.8274,127670,1,154304,0.8274,0.0000
14.00,0.7864,14058,0,146869,0.0957,0.0099,0.7585,9962,0,146869,0.0678,0.0000,0.7581,110556,1,145840,0.7581,0.0000,0.8274,127670,1,154304,0.8274,0.0000
14.50,0.8143,9715,0,146869,0.0661,0.0000,0.8439,14058,0,146869,0.0957,0.0099,0.7581,110556,1,145840,0.7581,0.0000,0.8274,127670,1,154304,0.8274,0.0000
15.00,0.8143,9715,0,146869,0.0661,0.0000,0.8718,9696,0,146869,0.0660,0.0000,0.7581,110556,1,145840,0.7581,0.0000,0.8283,127807,1,154304,0.8283,0.0000
15.50,0.8422,13812,0,146869,0.0940,0.0101,0.8997,13792,0,146869,0.0939,0.0099,0.7581,110556,1,145840,0.7581,0.0000,0.8283,127807,1,154304,0.8283,0.0000
16.00,0.8701,9455,0,146869,0.0644,0.0000,0.9276,9453,0,146869,0.0644,0.0000,0.7581,110556,1,145840,0.7581,0.0000,0.8283,127807,1,154304,0.8283,0.0000
16.50,0.8980,64267,0,146869,0.4376,0.9257,0.9276,9453,0,146869,0.0644,0.0000,0.7003,102131,1,145840,0.7003,0.0000,0.8283,127807,1,154304,0.8283,0.0000
17.00,0.9259,59884,0,146869,0.4077,0.0000,0.9276,9453,0,146869,0.0644,0.0000,0.7003,102131,1,145840,0.7003,0.0000,0.8283,127807,1,154304,0.8283,0.0000
17.50,0.9259,59884,0,146869,0.4077,0.0000,0.9794,17645,0,146869,0.1201,0.0000,0.7003,102131,1,145840,0.7003,0.0000,0.8283,127807,1,154304,0.8283,0.0000
18.00,0.9259,59884,0,146869,0.4077,0.0000,0.9794,13265,0,146869,0.0903,0.0099,0.7003,102131,1,145840,0.7003,0.0000,0.7733,119324,1,154304,0.7733,0.0000
18.50,0.9817,76511,0,146869,0.5209,0.0000,0.9238,8914,0,146869,0.0607,0.0000,0.7003,102131,1,145840,0.7003,0.0000,0.7733,119324,1,154304,0.7733,0.0000
19.00,0.9817,76511,0,146869,0.5209,0.0000,0.9238,8914,0,146869,0.0607,0.0000,0.7003,102131,1,145840,0.7003,0.0000,0.7733,119324,1,154304,0.7733,0.0000
19.50,0.9705,110029,0,146869,0.7492,0.9905,0.9517,13010,0,146869,0.0886,0.0099,0.7003,102131,1,145840,0.7003,0.0000,0.7733,119324,1,154304,0.7733,0.0000
20.00,0.9705,110029,0,146869,0.7492,0.9905,0.9796,8649,0,146869,0.0589,0.0000,0.7003,102131,1,145840,0.7003,0.0000,0.7733,119324,1,154304,0.7733,0.0000
20.50,0.9705,110029,0,146869,0.7492,0.9905,0.9723,12745,0,146869,0.0868,0.0000,0.7003,102131,1,145840,0.7003,0.0000,0.7733,119324,1,154304,0.7733,0.0000
21.00,0.9705,110029,0,146869,0.7492,0.9905,0.9205,8376,0,146869,0.0570,0.0101,0.7003,102131,1,145840,0.7003,0.0000,0.7184,110851,1,154304,0.7184,0.0000
21.50,0.9686,101814,0,146869,0.6932,0.9960,0.9205,8376,0,146869,0.0570,0.0101,0.7003,102131,1,145840,0.7003,0.0000,0.7184,110851,1,154304,0.7184,0.0000
22.00,0.9686,101814,0,146869,0.6932,0.9960,0.9483,12472,0,146869,0.0849,0.0000,0.7003,102131,1,145840,0.7003,0.0000,0.7184,110851,1,154304,0.7184,0.0000
22.50,0.9686,101814,0,146869,0.6932,0.9960,0.9762,16569,0,146869,0.1128,0.0101,0.7003,102131,1,145840,0.7003,0.0000,0.6080,93824,1,154304,0.6080,0.0000
23.00,0.9686,101814,0,146869,0.6932,0.9960,0.9706,12217,0,146869,0.0832,0.0000,0.8762,127778,1,145840,0.8762,0.0000,0.6080,93824,1,154304,0.6080,0.0000
23.50,0.9688,84831,0,146869,0.5776,0.9960,0.9706,12217,0,146869,0.0832,0.0000,0.8762,127778,1,145840,0.8762,0.0000,0.6080,93824,1,154304,0.6080,0.0000
24.00,0.9688,84831,0,146869,0.5776,0.9960,0.9985,16314,0,146869,0.1111,0.0101,0.8762,127778,1,145840,0.8762,0.0000,0.6080,93824,1,154304,0.6080,0.0000
24.50,0.9688,84831,0,146869,0.5776,0.9960,0.9880,11960,0,146869,0.0814,0.0000,0.7012,102262,1,145840,0.7012,0.0000,0.6080,93824,1,154304,0.6080,0.0000
25.00,0.9688,84831,0,146869,0.5776,0.9960,0.9772,16056,0,146869,0.1093,0.0099,0.7012,102262,1,145840,0.7012,0.0000,0.6080,93824,1,154304,0.6080,0.0000
25.50,0.9691,67924,0,146869,0.4625,0.9958,0.9772,11685,0,146869,0.0796,0.0000,0.7012,102262,1,145840,0.7012,0.0000,0.6080,93824,1,154304,0.6080,0.0000
26.00,0.9691,67924,0,146869,0.4625,0.9958,0.9772,11685,0,146869,0.0796,0.0000,0.7012,102262,1,145840,0.7012,0.0000,0.7190,110942,1,154304,0.7190,0.0000
26.50,0.9691,67924,0,146869,0.4625,0.9958,0.9135,15781,0,146869,0.1074,0.0099,0.7019,102360,1,145840,0.7019,0.0000,0.7190,110942,1,154304,0.7190,0.0000
27.00,0.9693,59462,0,146869,0.4049,0.9958,0.9414,11430,0,146869,0.0778,0.0000,0.7019,102360,1,145840,0.7019,0.0000,0.7190,110942,1,154304,0.7190,0.0000
27.50,0.9662,50989,0,146869,0.3472,0.9960,0.9693,15526,0,146869,0.1057,0.0099,0.7019,102360,1,145840,0.7019,0.0000,0.7190,110942,1,154304,0.7190,0.0000
28.00,0.9667,68025,0,146869,0.4632,0.9958,0.9972,11124,0,146869,0.0757,0.0000,0.7019,102360,1,145840,0.7019,0.0000,0.6642,102486,1,154304,0.6642,0.0000
28.50,0.9667,68025,0,146869,0.4632,0.9958,0.9972,11124,0,146869,0.0757,0.0000,0.7019,102360,1,145840,0.7019,0.0000,0.6642,102486,1,154304,0.6642,0.0000
29.00,0.9667,68025,0,146869,0.4632,0.9958,0.9792,23697,0,146869,0.1613,0.6763,0.7610,110985,1,145840,0.7610,0.0000,0.6642,102486,1,154304,0.6642,0.0000
29.50,0.9669,59540,0,146869,0.4054,0.9958,0.9597,19316,0,146869,0.1315,0.0000,0.7610,110985,1,145840,0.7610,0.0000,0.6642,102486,1,154304,0.6642,0.0000
30.00,0.9617,59514,0,146869,0.4052,0.9960,0.9597,19316,0,146869,0.1315,0.0000,0.7610,110985,1,145840,0.7610,0.0000,0.6092,94008,1,154304,0.6092,0.0000
30.50,0.9619,59529,0,146869,0.4053,0.9958,0.9362,27508,0,146869,0.1873,0.0000,0.7610,110985,1,145840,0.7610,0.0000,0.6092,94008,1,154304,0.6092,0.0000
31.00,0.9619,59529,0,146869,0.4053,0.9958,0.9362,27508,0,146869,0.1873,0.0000,0.8783,128097,1,145840,0.8783,0.0000,0.6092,94008,1,154304,0.6092,0.0000
31.50,0.9261,68063,0,146869,0.4634,0.9958,0.9641,23128,0,146869,0.1575,0.0101,0.8783,128097,1,145840,0.8783,0.0000,0.6092,94008,1,154304,0.6092,0.0000
32.00,0.9261,68063,0,146869,0.4634,0.9958,0.9919,27224,0,146869,0.1854,0.0000,0.8783,128097,1,145840,0.8783,0.0000,0.6092,94008,1,154304,0.6092,0.0000
