t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0000,0,0,146869,0.0000,0.0000,0.0000,0,0,146869,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0282,4121,0,146869,0.0281,0.0000,0.0279,4096,0,146869,0.0279,0.0000,,,,,,,,,,,,
1.00,0.0561,8217,0,146869,0.0559,0.0099,0.0279,4096,0,146869,0.0279,0.0000,,,,,,,,,,,,
1.50,0.0561,8217,0,146869,0.0559,0.0099,0.0279,4096,0,146869,0.0279,0.0000,,,,,,,,,,,,
2.00,0.0561,8217,0,146869,0.0559,0.0099,0.0558,8192,0,146869,0.0558,0.0099,,,,,,,,,,,,
2.50,0.0839,12313,0,146869,0.0838,0.0000,0.0837,12288,0,146869,0.0837,0.0000,,,,,,,,,,,,
3.00,0.0839,12313,0,146869,0.0838,0.0000,0.0837,12288,0,146869,0.0837,0.0000,,,,,,,,,,,,
3.50,0.1397,20505,0,146869,0.1396,0.0000,0.0837,12288,0,146869,0.0837,0.0000,,,,,,,,,,,,
4.00,0.1397,20505,0,146869,0.1396,0.0000,0.1395,20480,0,146869,0.1394,0.0000,,,,,,,,,,,,
4.50,0.1397,20505,0,146869,0.1396,0.0000,0.1395,20480,0,146869,0.1394,0.0000,,,,,,,,,,,,
5.00,0.1397,20505,0,146869,0.1396,0.0000,0.1395,20480,0,146869,0.1394,0.0000,,,,,,,,,,,,
5.50,0.1955,20244,0,146869,0.1378,0.0000,0.1953,28672,0,146869,0.1952,0.0000,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:unreachable
6.00,0.1955,20244,0,146869,0.1378,0.0000,0.1953,28672,0,146869,0.1952,0.0000,0.6408,93454,1,145840,0.6408,0.0000,,,,,,
6.50,0.1955,20244,0,146869,0.1378,0.0000,0.1953,28672,0,146869,0.1952,0.0000,0.6408,93454,1,145840,0.6408,0.0000,,,,,,
7.00,0.2513,19975,0,146869,0.1360,0.0000,0.1953,28672,0,146869,0.1952,0.0000,0.6408,93454,1,145840,0.6408,0.0000,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
7.50,0.2513,19975,0,146869,0.1360,0.0000,0.2510,19937,0,146869,0.1357,0.0000,0.6408,93454,1,145840,0.6408,0.0000,0.9356,144371,1,154304,0.9356,0.0000
8.00,0.2513,19975,0,146869,0.1360,0.0000,0.2510,19937,0,146869,0.1357,0.0000,0.6408,93454,1,145840,0.6408,0.0000,0.9356,144371,1,154304,0.9356,0.0000
8.50,0.2513,19975,0,146869,0.1360,0.0000,0.2510,19937,0,146869,0.1357,0.0000,0.6408,93454,1,145840,0.6408,0.0000,0.9356,144371,1,154304,0.9356,0.0000
9.00,0.3071,19728,0,146869,0.1343,0.0000,0.3068,28129,0,146869,0.1915,0.0000,0.6408,93454,1,145840,0.6408,0.0000,0.9356,144371,1,154304,0.9356,0.0000
9.50,0.3071,19728,0,146869,0.1343,0.0000,0.3068,28129,0,146869,0.1915,0.0000,0.6408,93454,1,145840,0.6408,0.0000,0.9356,144371,1,154304,0.9356,0.0000
10.00,0.3071,19728,0,146869,0.1343,0.0000,0.3068,28129,0,146869,0.1915,0.0000,0.6408,93454,1,145840,0.6408,0.0000,0.9356,144371,1,154304,0.9356,0.0000
10.50,0.3071,19728,0,146869,0.1343,0.0000,0.3068,28129,0,146869,0.1915,0.0000,0.6408,93454,1,145840,0.6408,0.0000,0.9356,144371,1,154304,0.9356,0.0000
11.00,0.3628,19477,0,146869,0.1326,0.0000,0.3626,19407,0,146869,0.1321,0.0000,0.6408,93454,1,145840,0.6408,0.0000,0.9356,144371,1,154304,0.9356,0.0000
11.50,0.3628,19477,0,146869,0.1326,0.0000,0.3626,19407,0,146869,0.1321,0.0000,0.6408,93454,1,145840,0.6408,0.0000,0.9364,144489,1,154304,0.9364,0.0000
12.00,0.3628,19477,0,146869,0.1326,0.0000,0.3626,19407,0,146869,0.1321,0.0000,0.6408,93454,1,145840,0.6408,0.0000,0.9364,144489,1,154304,0.9364,0.0000
12.50,0.4186,19233,0,146869,0.1310,0.0000,0.3626,19407,0,146869,0.1321,0.0000,0.6408,93454,1,145840,0.6408,0.0000,0.9364,144489,1,154304,0.9364,0.0000
13.00,0.4186,19233,0,146869,0.1310,0.0000,0.4184,19150,0,146869,0.1304,0.0000,0.6408,93454,1,145840,0.6408,0.0000,0.9364,144489,1,154304,0.9364,0.0000
13.50,0.4186,19233,0,146869,0.1310,0.0000,0.4184,19150,0,146869,0.1304,0.0000,0.6408,93454,1,145840,0.6408,0.0000,0.9364,144489,1,154304,0.9364,0.0000
14.00,0.4186,19233,0,146869,0.1310,0.0000,0.4184,19150,0,146869,0.1304,0.0000,0.6408,93454,1,145840,0.6408,0.0000,0.9364,144489,1,154304,0.9364,0.0000
14.50,0.4744,18982,0,146869,0.1292,0.0000,0.4741,27342,0,146869,0.1862,0.0000,0.6408,93454,1,145840,0.6408,0.0000,0.9364,144489,1,154304,0.9364,0.0000
15.00,0.4744,18982,0,146869,0.1292,0.0000,0.4741,27342,0,146869,0.1862,0.0000,0.7583,110588,1,145840,0.7583,0.0000,0.9364,144489,1,154304,0.9364,0.0000
15.50,0.4744,18982,0,146869,0.1292,0.0000,0.4741,27342,0,146869,0.1862,0.0000,0.7583,110588,1,145840,0.7583,0.0000,0.9364,144489,1,154304,0.9364,0.0000
16.00,0.5302,18697,0,146869,0.1273,0.0000,0.4741,27342,0,146869,0.1862,0.0000,0.7583,110588,1,145840,0.7583,0.0000,0.9364,144489,1,154304,0.9364,0.0000
16.50,0.5302,18697,0,146869,0.1273,0.0000,0.5299,18650,0,146869,0.1270,0.0000,0.7583,110588,1,145840,0.7583,0.0000,0.8820,136089,1,154304,0.8820,0.0000
17.00,0.5302,18697,0,146869,0.1273,0.0000,0.5299,18650,0,146869,0.1270,0.0000,0.7583,110588,1,145840,0.7583,0.0000,0.8820,136089,1,154304,0.8820,0.0000
17.50,0.5302,18697,0,146869,0.1273,0.0000,0.5299,18650,0,146869,0.1270,0.0000,0.7583,110588,1,145840,0.7583,0.0000,0.8820,136089,1,154304,0.8820,0.0000
18.00,0.5859,18447,0,146869,0.1256,0.0000,0.5299,18650,0,146869,0.1270,0.0000,0.7583,110588,1,145840,0.7583,0.0000,0.8820,136089,1,154304,0.8820,0.0000
18.50,0.5859,18447,0,146869,0.1256,0.0000,0.5857,18366,0,146869,0.1251,0.0000,0.7583,110588,1,145840,0.7583,0.0000,0.8820,136089,1,154304,0.8820,0.0000
19.00,0.5859,18447,0,146869,0.1256,0.0000,0.5857,18366,0,146869,0.1251,0.0000,0.7583,110588,1,145840,0.7583,0.0000,0.7718,119096,1,154304,0.7718,0.0000
19.50,0.5859,18447,0,146869,0.1256,0.0000,0.5857,18366,0,146869,0.1251,0.0000,0.7583,110588,1,145840,0.7583,0.0000,0.7718,119096,1,154304,0.7718,0.0000
20.00,0.6417,18184,0,146869,0.1238,0.0000,0.6415,18111,0,146869,0.1233,0.0000,0.7583,110588,1,145840,0.7583,0.0000,0.7718,119096,1,154304,0.7718,0.0000
20.50,0.6417,18184,0,146869,0.1238,0.0000,0.6415,18111,0,146869,0.1233,0.0000,0.7583,110588,1,145840,0.7583,0.0000,0.7718,119096,1,154304,0.7718,0.0000
21.00,0.6417,18184,0,146869,0.1238,0.0000,0.6415,18111,0,146869,0.1233,0.0000,0.7583,110588,1,145840,0.7583,0.0000,0.7718,119096,1,154304,0.7718,0.0000
21.50,0.6975,17914,0,146869,0.1220,0.0000,0.6415,18111,0,146869,0.1233,0.0000,0.7583,110588,1,145840,0.7583,0.0000,0.7718,119096,1,154304,0.7718,0.0000
22.00,0.6975,17914,0,146869,0.1220,0.0000,0.6973,26303,0,146869,0.1791,0.0000,0.8172,119186,1,145840,0.8172,0.0000,0.7718,119096,1,154304,0.7718,0.0000
22.50,0.6975,17914,0,146869,0.1220,0.0000,0.6973,26303,0,146869,0.1791,0.0000,0.8172,119186,1,145840,0.8172,0.0000,0.7718,119096,1,154304,0.7718,0.0000
23.00,0.6975,17914,0,146869,0.1220,0.0000,0.6973,26303,0,146869,0.1791,0.0000,0.8172,119186,1,145840,0.8172,0.0000,0.7718,119096,1,154304,0.7718,0.0000
23.50,0.7533,17649,0,146869,0.1202,0.0000,0.6973,26303,0,146869,0.1791,0.0000,0.8172,119186,1,145840,0.8172,0.0000,0.7718,119096,1,154304,0.7718,0.0000
24.00,0.7533,17649,0,146869,0.1202,0.0000,0.7530,17594,0,146869,0.1198,0.0000,0.8172,119186,1,145840,0.8172,0.0000,0.7718,119096,1,154304,0.7718,0.0000
24.50,0.7533,17649,0,146869,0.1202,0.0000,0.7530,17594,0,146869,0.1198,0.0000,0.7009,102213,1,145840,0.7009,0.0000,0.7718,119096,1,154304,0.7718,0.0000
25.00,0.7533,17649,0,146869,0.1202,0.0000,0.7530,17594,0,146869,0.1198,0.0000,0.7009,102213,1,145840,0.7009,0.0000,0.7718,119096,1,154304,0.7718,0.0000
25.50,0.8091,17388,0,146869,0.1184,0.0000,0.7809,13224,0,146869,0.0900,0.0099,0.7009,102213,1,145840,0.7009,0.0000,0.8831,136261,1,154304,0.8831,0.0000
26.00,0.8091,17388,0,146869,0.1184,0.0000,0.8088,17320,0,146869,0.1179,0.0000,0.7009,102213,1,145840,0.7009,0.0000,0.8831,136261,1,154304,0.8831,0.0000
26.50,0.8091,17388,0,146869,0.1184,0.0000,0.8088,17320,0,146869,0.1179,0.0000,0.7009,102213,1,145840,0.7009,0.0000,0.8831,136261,1,154304,0.8831,0.0000
27.00,0.8091,17388,0,146869,0.1184,0.0000,0.8088,17320,0,146869,0.1179,0.0000,0.7009,102213,1,145840,0.7009,0.0000,0.8831,136261,1,154304,0.8831,0.0000
27.50,0.8648,17145,0,146869,0.1167,0.0000,0.8646,17062,0,146869,0.1162,0.0000,0.7009,102213,1,145840,0.7009,0.0000,0.8831,136261,1,154304,0.8831,0.0000
28.00,0.8648,17145,0,146869,0.1167,0.0000,0.8646,17062,0,146869,0.1162,0.0000,0.7009,102213,1,145840,0.7009,0.0000,0.8831,136261,1,154304,0.8831,0.0000
28.50,0.8648,17145,0,146869,0.1167,0.0000,0.8646,17062,0,146869,0.1162,0.0000,0.7009,102213,1,145840,0.7009,0.0000,0.8831,136261,1,154304,0.8831,0.0000
29.00,0.8927,12806,0,146869,0.0872,0.0000,0.8646,17062,0,146869,0.1162,0.0000,0.7009,102213,1,145840,0.7009,0.0000,0.8831,136261,1,154304,0.8831,0.0000
29.50,0.9206,16902,0,146869,0.1151,0.0099,0.9204,25255,0,146869,0.1720,0.0101,0.7009,102213,1,145840,0.7009,0.0000,0.9391,144901,1,154304,0.9391,0.0000
30.00,0.9485,12542,0,146869,0.0854,0.0000,0.9483,12425,0,146869,0.0846,0.0000,0.7014,102292,1,145840,0.7014,0.0000,0.9391,144901,1,154304,0.9391,0.0000
30.50,0.9485,12542,0,146869,0.0854,0.0000,0.9483,12425,0,146869,0.0846,0.0000,0.7014,102292,1,145840,0.7014,0.0000,0.9391,144901,1,154304,0.9391,0.0000
31.00,0.9485,12542,0,146869,0.0854,0.0000,0.9483,12425,0,146869,0.0846,0.0000,0.7014,102292,1,145840,0.7014,0.0000,0.9391,144901,1,154304,0.9391,0.0000
31.50,0.9485,12542,0,146869,0.0854,0.0000,0.9483,12425,0,146869,0.0846,0.0000,0.7014,102292,1,145840,0.7014,0.0000,0.9391,144901,1,154304,0.9391,0.0000
32.00,0.9744,12269,0,146869,0.0835,0.0000,0.9740,12169,0,146869,0.0829,0.0000,0.7014,102292,1,145840,0.7014,0.0000,0.9391,144901,1,154304,0.9391,0.0000
32.50,0.9744,12269,0,146869,0.0835,0.0000,0.9740,12169,0,146869,0.0829,0.0000,0.7014,102292,1,145840,0.7014,0.0000,0.7186,110876,1,154304,0.7186,0.0000
