t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,P1_use,P1_used_tok,P1_running,P1_cap_tok,P1_pressure,P1_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit,D1_use,D1_used_tok,D1_running,D1_cap_tok,D1_pressure,D1_hit
# roles: P0:P P1:P D0:D D1:D
# metric: P0:cache_occupancy P1:cache_occupancy D0:unreachable D1:unreachable
0.00,0.0000,0,0,209038,0.0000,0.0000,0.0000,0,0,209038,0.0000,0.0000,,,,,,,,,,,,
0.50,0.0196,4096,0,209038,0.0196,0.0000,0.0196,4096,0,209038,0.0196,0.0000,,,,,,,,,,,,
1.00,0.0392,8192,0,209038,0.0392,0.0000,0.0392,8192,0,209038,0.0392,0.0000,,,,,,,,,,,,
1.50,0.0392,8192,0,209038,0.0392,0.0000,0.0392,8192,0,209038,0.0392,0.0000,,,,,,,,,,,,
2.00,0.0392,8192,0,209038,0.0392,0.0000,0.0392,8192,0,209038,0.0392,0.0000,,,,,,,,,,,,
2.50,0.0784,16384,0,209038,0.0784,0.0000,0.0784,16384,0,209038,0.0784,0.0000,,,,,,,,,,,,
3.00,0.0574,11996,0,209038,0.0574,0.0000,0.0574,12003,0,209038,0.0574,0.0000,,,,,,,,,,,,
3.50,0.0770,16092,0,209038,0.0770,0.0000,0.0770,16099,0,209038,0.0770,0.0000,,,,,,,,,,,,
4.00,0.0559,11684,0,209038,0.0559,0.0000,0.0770,16099,0,209038,0.0770,0.0000,,,,,,,,,,,,
4.50,0.0559,11684,0,209038,0.0559,0.0000,0.0560,11711,0,209038,0.0560,0.0000,,,,,,,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:unreachable
5.00,0.0755,15780,0,209038,0.0755,0.0000,0.0756,15807,0,209038,0.0756,0.0000,0.7461,161440,2,216374,0.7461,0.0000,,,,,,
5.50,0.0544,11382,0,209038,0.0544,0.0000,0.0545,11398,0,209038,0.0545,0.0000,0.7461,161440,2,216374,0.7461,0.0000,,,,,,
6.00,0.0740,15478,0,209038,0.0740,0.0000,0.0741,15494,0,209038,0.0741,0.0000,0.7461,161440,2,216374,0.7461,0.0000,,,,,,
6.50,0.0530,11072,0,209038,0.0530,0.0000,0.0531,11110,0,209038,0.0531,0.0000,0.7461,161440,2,216374,0.7461,0.0000,,,,,,
7.00,0.0726,15168,0,209038,0.0726,0.0000,0.0531,11110,0,209038,0.0531,0.0000,0.7461,161440,2,216374,0.7461,0.0000,,,,,,
# metric: P0:cache_occupancy P1:cache_occupancy D0:cache_occupancy D1:cache_occupancy
7.50,0.0726,15168,0,209038,0.0726,0.0000,0.0727,15206,0,209038,0.0727,0.0000,0.7070,152971,1,216374,0.7070,0.0000,0.3929,85009,1,216374,0.3929,0.0000
8.00,0.0515,10759,0,209038,0.0515,0.0000,0.0517,10806,0,209038,0.0517,0.0000,0.7070,152971,1,216374,0.7070,0.0000,0.3929,85009,1,216374,0.3929,0.0000
8.50,0.0711,14855,0,209038,0.0711,0.0000,0.0713,14902,0,209038,0.0713,0.0000,0.7070,152971,1,216374,0.7070,0.0000,0.3929,85009,1,216374,0.3929,0.0000
9.00,0.0500,10461,0,209038,0.0500,0.0000,0.0503,10514,0,209038,0.0503,0.0000,0.7070,152971,1,216374,0.7070,0.0000,0.3929,85009,1,216374,0.3929,0.0000
9.50,0.0696,14557,0,209038,0.0696,0.0000,0.0503,10514,0,209038,0.0503,0.0000,0.7070,152971,1,216374,0.7070,0.0000,0.3929,85009,1,216374,0.3929,0.0000
10.00,0.0696,14557,0,209038,0.0696,0.0000,0.0699,14610,0,209038,0.0699,0.0000,0.7070,152971,1,216374,0.7070,0.0000,0.3929,85009,1,216374,0.3929,0.0000
10.50,0.0486,10162,0,209038,0.0486,0.0000,0.0488,10207,0,209038,0.0488,0.0000,0.7070,152971,1,216374,0.7070,0.0000,0.3933,85092,1,216374,0.3933,0.0000
11.00,0.0682,14258,0,209038,0.0682,0.0000,0.0684,14303,0,209038,0.0684,0.0000,0.7070,152971,1,216374,0.7070,0.0000,0.3933,85092,1,216374,0.3933,0.0000
11.50,0.0471,9836,0,209038,0.0471,0.0000,0.0474,9913,0,209038,0.0474,0.0000,0.7070,152971,1,216374,0.7070,0.0000,0.3933,85092,1,216374,0.3933,0.0000
12.00,0.0666,13932,0,209038,0.0666,0.0000,0.0474,9913,0,209038,0.0474,0.0000,0.7070,152971,1,216374,0.7070,0.0000,0.3933,85092,1,216374,0.3933,0.0000
12.50,0.0457,9552,0,209038,0.0457,0.0000,0.0670,14009,0,209038,0.0670,0.0000,0.6681,144555,1,216374,0.6681,0.0000,0.3933,85092,1,216374,0.3933,0.0000
13.00,0.0457,9552,0,209038,0.0457,0.0000,0.0460,9625,0,209038,0.0460,0.0000,0.6681,144555,1,216374,0.6681,0.0000,0.3936,85168,1,216374,0.3936,0.0000
13.50,0.0653,13648,0,209038,0.0653,0.0000,0.0656,13721,0,209038,0.0656,0.0000,0.6681,144555,1,216374,0.6681,0.0000,0.3936,85168,1,216374,0.3936,0.0000
14.00,0.0442,9241,0,209038,0.0442,0.0000,0.0447,9341,0,209038,0.0447,0.0000,0.6681,144555,1,216374,0.6681,0.0000,0.3936,85168,1,216374,0.3936,0.0000
14.50,0.0638,13337,0,209038,0.0638,0.0000,0.0643,13437,0,209038,0.0643,0.0000,0.6681,144555,1,216374,0.6681,0.0000,0.3936,85168,1,216374,0.3936,0.0000
15.00,0.0428,8939,0,209038,0.0428,0.0000,0.0643,13437,0,209038,0.0643,0.0000,0.6293,136173,1,216374,0.6293,0.0000,0.3936,85168,1,216374,0.3936,0.0000
15.50,0.0428,8939,0,209038,0.0428,0.0000,0.0431,9016,0,209038,0.0431,0.0000,0.6293,136173,1,216374,0.6293,0.0000,0.3936,85168,1,216374,0.3936,0.0000
16.00,0.0624,13035,0,209038,0.0624,0.0000,0.0627,13112,0,209038,0.0627,0.0000,0.6293,136173,1,216374,0.6293,0.0000,0.3936,85168,1,216374,0.3936,0.0000
16.50,0.0413,8643,0,209038,0.0413,0.0000,0.0417,8719,0,209038,0.0417,0.0000,0.6293,136173,1,216374,0.6293,0.0000,0.3936,85168,1,216374,0.3936,0.0000
17.00,0.0609,12739,0,209038,0.0609,0.0000,0.0613,12815,0,209038,0.0613,0.0000,0.6293,136173,1,216374,0.6293,0.0000,0.3936,85168,1,216374,0.3936,0.0000
17.50,0.0398,8328,0,209038,0.0398,0.0000,0.0613,12815,0,209038,0.0613,0.0000,0.5902,127708,1,216374,0.5902,0.0000,0.3936,85168,1,216374,0.3936,0.0000
18.00,0.0594,12424,0,209038,0.0594,0.0000,0.0402,8413,0,209038,0.0402,0.0000,0.5902,127708,1,216374,0.5902,0.0000,0.3936,85168,1,216374,0.3936,0.0000
18.50,0.0594,12424,0,209038,0.0594,0.0000,0.0598,12509,0,209038,0.0598,0.0000,0.5902,127708,1,216374,0.5902,0.0000,0.3936,85168,1,216374,0.3936,0.0000
19.00,0.0790,16520,0,209038,0.0790,0.0000,0.0794,16605,0,209038,0.0794,0.0000,0.5902,127708,1,216374,0.5902,0.0000,0.3936,85168,1,216374,0.3936,0.0000
19.50,0.0580,12125,0,209038,0.0580,0.0000,0.0583,12193,0,209038,0.0583,0.0000,0.5902,127708,1,216374,0.5902,0.0000,0.3936,85168,1,216374,0.3936,0.0000
20.00,0.0776,16221,0,209038,0.0776,0.0000,0.0583,12193,0,209038,0.0583,0.0000,0.5907,127810,1,216374,0.5907,0.0000,0.3936,85168,1,216374,0.3936,0.0000
20.50,0.0566,11823,0,209038,0.0566,0.0000,0.0779,16289,0,209038,0.0779,0.0000,0.5907,127810,1,216374,0.5907,0.0000,0.3936,85168,1,216374,0.3936,0.0000
21.00,0.0566,11823,0,209038,0.0566,0.0000,0.0569,11896,0,209038,0.0569,0.0000,0.5907,127810,1,216374,0.5907,0.0000,0.3936,85168,1,216374,0.3936,0.0000
21.50,0.0762,15919,0,209038,0.0762,0.0000,0.0765,15992,0,209038,0.0765,0.0000,0.5907,127810,1,216374,0.5907,0.0000,0.3936,85168,1,216374,0.3936,0.0000
22.00,0.0551,11519,0,209038,0.0551,0.0000,0.0555,11600,0,209038,0.0555,0.0000,0.5124,110874,1,216374,0.5124,0.0000,0.3936,85168,1,216374,0.3936,0.0000
22.50,0.0747,15615,0,209038,0.0747,0.0000,0.0555,11600,0,209038,0.0555,0.0000,0.5124,110874,1,216374,0.5124,0.0000,0.3936,85168,1,216374,0.3936,0.0000
23.00,0.0535,11175,0,209038,0.0535,0.0000,0.0751,15696,0,209038,0.0751,0.0000,0.5124,110874,1,216374,0.5124,0.0000,0.5909,127866,1,216374,0.5909,0.0000
23.50,0.0731,15271,0,209038,0.0731,0.0000,0.0539,11272,0,209038,0.0539,0.0000,0.5124,110874,1,216374,0.5124,0.0000,0.5909,127866,1,216374,0.5909,0.0000
24.00,0.0731,15271,0,209038,0.0731,0.0000,0.0735,15368,0,209038,0.0735,0.0000,0.5124,110874,1,216374,0.5124,0.0000,0.5909,127866,1,216374,0.5909,0.0000
24.50,0.0520,10868,0,209038,0.0520,0.0000,0.0524,10946,0,209038,0.0524,0.0000,0.5124,110874,1,216374,0.5124,0.0000,0.5909,127866,1,216374,0.5909,0.0000
25.00,0.0716,14964,0,209038,0.0716,0.0000,0.0524,10946,0,209038,0.0524,0.0000,0.5124,110874,1,216374,0.5124,0.0000,0.5909,127866,1,216374,0.5909,0.0000
25.50,0.0504,10530,0,209038,0.0504,0.0000,0.0720,15042,0,209038,0.0720,0.0000,0.4733,102402,1,216374,0.4733,0.0000,0.5909,127866,1,216374,0.5909,0.0000
26.00,0.0700,14626,0,209038,0.0700,0.0000,0.0507,10600,0,209038,0.0507,0.0000,0.4733,102402,1,216374,0.4733,0.0000,0.5909,127866,1,216374,0.5909,0.0000
26.50,0.0700,14626,0,209038,0.0700,0.0000,0.0703,14696,0,209038,0.0703,0.0000,0.4733,102402,1,216374,0.4733,0.0000,0.6306,136451,1,216374,0.6306,0.0000
27.00,0.0488,10198,0,209038,0.0488,0.0000,0.0491,10274,0,209038,0.0491,0.0000,0.4733,102402,1,216374,0.4733,0.0000,0.6306,136451,1,216374,0.6306,0.0000
27.50,0.0684,14294,0,209038,0.0684,0.0000,0.0491,10274,0,209038,0.0491,0.0000,0.4733,102402,1,216374,0.4733,0.0000,0.6306,136451,1,216374,0.6306,0.0000
28.00,0.0471,9838,0,209038,0.0471,0.0000,0.0687,14370,0,209038,0.0687,0.0000,0.4733,102402,1,216374,0.4733,0.0000,0.6306,136451,1,216374,0.6306,0.0000
28.50,0.0667,13934,0,209038,0.0667,0.0000,0.0475,9938,0,209038,0.0475,0.0000,0.5128,110964,1,216374,0.5128,0.0000,0.6306,136451,1,216374,0.6306,0.0000
29.00,0.0667,13934,0,209038,0.0667,0.0000,0.0671,14034,0,209038,0.0671,0.0000,0.5128,110964,1,216374,0.5128,0.0000,0.6306,136451,1,216374,0.6306,0.0000
29.50,0.0455,9520,0,209038,0.0455,0.0000,0.0459,9591,0,209038,0.0459,0.0000,0.5128,110964,1,216374,0.5128,0.0000,0.6311,136557,1,216374,0.6311,0.0000
30.00,0.0651,13616,0,209038,0.0651,0.0000,0.0459,9591,0,209038,0.0459,0.0000,0.5128,110964,1,216374,0.5128,0.0000,0.6311,136557,1,216374,0.6311,0.0000
30.50,0.0440,9202,0,209038,0.0440,0.0000,0.0655,13687,0,209038,0.0655,0.0000,0.5128,110964,1,216374,0.5128,0.0000,0.6311,136557,1,216374,0.6311,0.0000
31.00,0.0636,13298,0,209038,0.0636,0.0000,0.0442,9244,0,209038,0.0442,0.0000,0.5128,110964,1,216374,0.5128,0.0000,0.6311,136557,1,216374,0.6311,0.0000
31.50,0.0832,17394,0,209038,0.0832,0.0000,0.0638,13340,0,209038,0.0638,0.0000,0.5128,110964,1,216374,0.5128,0.0000,0.6311,136557,1,216374,0.6311,0.0000
32.00,0.0832,17394,0,209038,0.0832,0.0000,0.0834,17436,0,209038,0.0834,0.0000,0.5128,110964,1,216374,0.5128,0.0000,0.6311,136557,1,216374,0.6311,0.0000
32.50,0.0620,12962,0,209038,0.0620,0.0000,0.0834,17436,0,209038,0.0834,0.0000,0.4739,102537,1,216374,0.4739,0.0000,0.6314,136625,1,216374,0.6314,0.0000
